Date,Spread,CRUDOIL,NAFCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-12-30,-0.5554876333893759,48.28,443.5,4.293686222960957,0.11011383908317786,1.0,1.0,-0.11011383908317786,-0.0012414187044326756,4.270059211024905
2020-12-31,-1.1110378174414208,48.28,448.5,4.291008181373333,0.11012494496642458,1.0,1.0,-0.11012494496642458,0.0,4.270059211024905
2021-01-01,-1.118118986699848,48.28,448.5,4.287652605618173,0.11014073352664404,1.0,1.0,-0.11014073352664404,-0.017099610496001016,4.252959600528904
2021-01-04,-2.2350871814009494,47.49,451.5,4.287160746625707,0.11013308345825239,1.0,1.0,-0.11013308345825239,0.04324206678848765,4.2962016673173915
2021-01-05,-2.443021595860671,49.81,474.5,4.2869247754838025,0.11012227944333124,1.0,1.0,-0.11012227944333124,0.01022407182299298,4.306425739140384
2021-01-06,-3.5495883015821903,50.51,491.0,4.288595154322019,0.11010099450424071,1.0,1.0,-0.11010099450424071,0.0023899440119391157,4.308815683152323
2021-01-07,-4.098297334253012,50.71,498.0,4.294020040224521,0.11005682195633135,1.0,1.0,-0.11005682195633135,0.025705689106520536,4.334521372258844
2021-01-08,-3.7211027149589953,52.12,507.5,4.296034652094176,0.11003172948760392,1.0,1.0,-0.11003172948760392,-0.00035016329698554403,4.334171208961858
2021-01-11,-3.9712006051658904,52.13,510.0,4.298870289284227,0.11000235412777626,1.0,1.0,-0.11000235412777626,0.01708050987088799,4.351251718832746
2021-01-12,-3.5945250483525015,53.08,515.3,4.299339923077587,0.10998355336377354,1.0,1.0,-0.10998355336377354,-0.003880327750628868,4.347371391082117
2021-01-13,-2.956983242357204,52.78,507.0,4.302872283386485,0.10993487819005365,1.0,1.0,-0.10993487819005365,0.012613153682302765,4.359984544764419
2021-01-14,-2.2176846136405572,53.44,506.5,4.304912598439877,0.10988684030333772,1.0,1.0,-0.10988684030333772,-0.022238136532494714,4.337746408231925
2021-01-15,-3.267017390130931,52.24,505.5,4.308777017828719,0.1098061669438792,1.0,1.0,-0.1098061669438792,0.0,4.337746408231925
2021-01-18,-3.229407238826056,52.24,505.5,4.312838788712899,0.10973176506197044,1.0,1.0,-0.10973176506197044,0.010591497469861015,4.3483379057017855
2021-01-19,-3.1486776279679347,52.85,510.5,4.315625430191006,0.10969378575507921,1.0,1.0,-0.10969378575507921,0.004177112276622805,4.3525150179784085
2021-01-20,-3.9410296118562442,53.19,521.0,4.318857799404955,0.1096564867789947,1.0,1.0,-0.1096564867789947,-0.00017379997661761673,4.352341218001791
2021-01-21,-3.054631783424483,53.08,512.0,4.3186714685468095,0.10963795270200094,1.0,1.0,-0.10963795270200094,-0.013067135163275536,4.339274082838515
2021-01-22,-2.55984787823364,52.25,500.0,4.318705056884011,0.10961969575646728,1.0,1.0,-0.10961969575646728,0.007667923176821256,4.346942006015336
2021-01-25,-2.910988048406992,52.74,507.8,4.319992655186607,0.10959233566051003,1.0,1.0,-0.10959233566051003,-0.003292731968298088,4.343649274047038
2021-01-26,-3.1892249819848217,52.58,509.0,4.3211277274844635,0.10956625733199375,1.0,1.0,-0.10956625733199375,0.004216514883997812,4.347865788931036
2021-01-27,-3.1959775389954714,52.83,511.5,4.323310855369403,0.10953270291103709,1.0,1.0,-0.10953270291103709,-0.009628752114399591,4.338237036816636
2021-01-28,-3.583527227472331,52.31,510.5,4.32728673552751,0.10948781043579302,1.0,1.0,-0.10948781043579302,-0.00259242033458528,4.3356446164820515
2021-01-29,-3.735112104308506,52.18,511.0,4.332975835391533,0.10942291996929257,1.0,1.0,-0.10942291996929257,0.025015442111193067,4.360660058593244
2021-02-01,-2.796703948564783,53.53,515.0,4.335966356974771,0.10937224067682483,1.0,1.0,-0.10937224067682483,0.02026804109562979,4.380928099688874
2021-02-02,-2.7666181553209483,54.74,526.0,4.338474966900574,0.10932817139794858,1.0,1.0,-0.10932817139794858,0.01449522564227292,4.395423325331147
2021-02-03,-3.1223304470796336,55.67,538.0,4.34169149789858,0.1092794246228246,1.0,1.0,-0.1092794246228246,0.008075045106151263,4.4034983704372985
2021-02-04,-3.4218304999071165,56.21,546.0,4.346251388050007,0.10921580677638666,1.0,1.0,-0.10921580677638666,0.010229950024026714,4.413728320461325
2021-02-05,-3.2063526508417084,56.83,550.0,4.350062529306724,0.10915700481971219,1.0,1.0,-0.10915700481971219,0.02082197468671725,4.434550295148042
2021-02-08,-1.3789117052209434,57.94,543.5,4.34929907598928,0.10914243184033291,1.0,1.0,-0.10914243184033291,0.007132729223158418,4.4416830243712
2021-02-09,-0.766092875334131,58.33,541.5,4.348446257700418,0.10913405886488298,1.0,1.0,-0.10913405886488298,0.004478326398455232,4.446161350769656
2021-02-10,-0.9851732437195011,58.65,546.5,4.347759708790173,0.10912200044596432,1.0,1.0,-0.10912200044596432,-0.0071319540117369224,4.4390293967579195
2021-02-11,-1.3000802010201156,58.22,545.5,4.346689061599188,0.10911105444733293,1.0,1.0,-0.10911105444733293,0.021126760563380254,4.4601561573212996
2021-02-12,-0.0701653624029106,59.45,545.5,4.346048867050355,0.10911121056352505,1.0,1.0,-0.10911121056352505,-0.0059006062541228045,4.454255551067177
2021-02-15,-3.250908727396343,59.45,575.0,4.350241765929205,0.10904505865634147,1.0,1.0,-0.10904505865634147,0.013548969166413585,4.4678045202335905
2021-02-16,-0.48092243340478547,60.03,555.0,4.350234503536801,0.10902868906919781,1.0,1.0,-0.10902868906919781,0.018550484049556185,4.486355004283147
2021-02-17,0.8284048503577068,61.12,553.0,4.350714578270689,0.10902639267566418,1.0,1.0,-0.10902639267566418,-0.013856371131466934,4.47249863315168
2021-02-18,-1.7467239723423802,60.49,571.0,4.351283474336629,0.10899601396207072,-1.0,-1.0,0.10899601396207072,-0.0011453171344525804,4.471353316017228
2021-02-19,-1.0879273856456635,60.49,565.0,4.3499914902808205,0.10898748209848791,1.0,1.0,-0.10898748209848791,0.019025111091854847,4.490378427109083
2021-02-22,-0.17415201057879415,61.67,567.5,4.349910745652343,0.10897647931379524,1.0,1.0,-0.10897647931379524,-0.0024728894536195528,4.487905537655464
2021-02-23,-1.2417830829838508,61.63,577.0,4.3490992153753805,0.1089632289133169,1.0,1.0,-0.1089632289133169,0.02552777807730686,4.513433315732771
2021-02-24,0.5296586386941726,63.18,575.0,4.348595641914252,0.10895711541096666,1.0,1.0,-0.10895711541096666,0.0019394056875006705,4.515372721420271
2021-02-25,-1.1565945977407779,63.53,594.0,4.340965963489446,0.10889999090528751,-1.0,-1.0,0.10889999090528751,-0.001008333249123037,4.514364388171148
2021-02-26,-0.5337455520389369,63.53,588.5,4.335056539031934,0.10885938071714348,1.0,1.0,-0.10885938071714348,-0.04625780212038791,4.4681065860507605
2021-03-01,-3.8999668332711295,60.65,593.5,4.333185644667806,0.10876152794148464,1.0,1.0,-0.10876152794148464,-0.012017171273296958,4.4560894147774635
2021-03-02,-3.1569842275659923,59.76,579.0,4.315832999812089,0.10866491231013124,1.0,1.0,-0.10866491231013124,0.025435073627844806,4.4815244884053085
2021-03-03,-1.603273925953829,61.28,579.0,4.3047538467674435,0.1086066907184004,1.0,1.0,-0.1086066907184004,0.04255015315289128,4.5240746415582
2021-03-04,1.484190275793857,63.83,574.0,4.304982307194909,0.10861639324774588,1.0,1.0,-0.10861639324774588,0.03010818799860632,4.554182829556806
2021-03-05,0.6877293596380554,66.09,602.0,4.301650595644786,0.10864164558199658,-1.0,-1.0,0.10864164558199658,0.014772703270223172,4.5689555328270295
2021-03-08,0.15378003529579587,65.06,597.5,4.299633990760881,0.10862965684469322,-1.0,-1.0,0.10862965684469322,0.016138948662772767,4.5850944814898025
