Date,Spread,LCPCASH,JETCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-11-18,2.685819891779829,5815.0,608.25,290.21561155946074,9.555798076626749,1.0,1.0,-9.555798076626749,0.15651366871129702,4.558704235765988
2019-11-19,136.3030898504885,5857.25,598.75,289.98699190837635,9.554817386471,-1.0,-1.0,9.554817386471,0.17193200888373344,4.730636244649721
2019-11-20,32.58419432646224,5855.0,609.5,289.63658112668776,9.552774086420898,-1.0,-1.0,9.552774086420898,0.20364258994890364,4.934278834598625
2019-11-21,-130.3196793201805,5809.75,622.0,289.83370532424266,9.549951252926336,-1.0,-1.0,9.549951252926336,-0.004819484487284198,4.92945935011134
2019-11-22,-100.78214623686563,5837.75,622.0,289.98559437989513,9.547479334785958,1.0,1.0,-9.547479334785958,-0.013037110437692116,4.916422239673648
2019-11-25,-95.18760449629372,5851.25,623.0,289.9882781367594,9.54484366692824,1.0,1.0,-9.54484366692824,-0.07460821353454875,4.841814026139099
2019-11-26,-89.74223971792435,5907.75,628.5,290.12537362431715,9.542549307427088,1.0,1.0,-9.542549307427088,0.02957487208422093,4.87138889822332
2019-11-27,-53.82564255592479,5925.5,626.75,289.9976581381001,9.540208444445033,1.0,1.0,-9.540208444445033,-0.009492869800016845,4.8618960284233035
2019-11-28,-108.25491087242517,5869.25,626.75,289.90190920094767,9.537303407853889,1.0,1.0,-9.537303407853889,0.2999116851738315,5.161807713597135
2019-11-29,57.5786334982713,5843.25,606.75,289.4626007446706,9.535511110839273,1.0,1.0,-9.535511110839273,-0.01643581517932314,5.145371898417811
2019-12-02,65.55710890289629,5862.0,608.0,288.90992346930557,9.533623176146552,-1.0,-1.0,9.533623176146552,0.03584559691654181,5.181217495334353
2019-12-03,-19.618439094187124,5789.75,609.5,288.5725783460311,9.531367414428527,-1.0,-1.0,9.531367414428527,0.14076888837344126,5.321986383707794
2019-12-04,-43.02854366107931,5857.5,619.25,287.9147407271327,9.528507942932707,1.0,1.0,-9.528507942932707,-0.045905442202018816,5.276080941505776
2019-12-05,-68.23621898719739,5859.0,622.25,287.2455052768974,9.525490106849654,1.0,1.0,-9.525490106849654,-0.10871236311859911,5.167368578387177
2019-12-06,-42.06364595999912,5962.0,630.5,286.5700808446021,9.522702055448056,1.0,1.0,-9.522702055448056,0.10483550802651175,5.272204086413689
2019-12-09,101.40461969339867,6046.75,624.5,284.95964141800954,9.52016874348535,1.0,1.0,-9.52016874348535,-0.06860751521918573,5.203596571194503
2019-12-10,81.07347742857928,6069.75,629.25,282.8316994771121,9.517165709291094,-1.0,-1.0,9.517165709291094,-0.14181361247337407,5.061782958721129
2019-12-11,223.04817723462747,6127.25,620.5,280.98979600569,9.515232591080375,-1.0,-1.0,9.515232591080375,0.12981523453491783,5.191598193256047
2019-12-12,146.92731261535573,6130.5,629.0,279.04630379928204,9.512834161183854,-1.0,-1.0,9.512834161183854,0.11368432570195122,5.3052825189579975
2019-12-13,55.104063221738215,6105.75,636.25,277.08820471740995,9.509856089238918,-1.0,-1.0,9.509856089238918,0.06044383435063724,5.365726353308634
2019-12-16,97.03165584549242,6193.0,641.25,273.7440719430308,9.506383382697088,-1.0,-1.0,9.506383382697088,0.12561453653662394,5.491340889845258
2019-12-17,0.9773015348000627,6172.5,649.5,269.69786655430426,9.50195950495027,-1.0,-1.0,9.50195950495027,-0.11627989293331727,5.375060996911941
2019-12-18,54.607991969865,6145.25,641.25,265.893326258533,9.498077205505083,-1.0,-1.0,9.498077205505083,0.15926952266550265,5.534330519577444
2019-12-19,-4.212133634195197,6190.5,652.5,262.0639261275201,9.493811699056238,-1.0,-1.0,9.493811699056238,-0.04026028865754307,5.494070230919901
2019-12-20,-14.770431083336916,6147.0,649.25,260.20238402047715,9.490597506481844,1.0,1.0,-9.490597506481844,-0.0159133581483978,5.478156872771503
2019-12-23,-10.747645594762616,6161.5,650.5,259.5518900320123,9.488466788001173,1.0,1.0,-9.488466788001173,-0.14152273359538234,5.336634139176121
2019-12-24,-77.13349773412301,6188.25,660.5,259.0164594930182,9.485819073026681,1.0,1.0,-9.485819073026681,0.0,5.336634139176121
2019-12-25,-75.33628853517985,6188.25,660.5,258.3805535523586,9.483098090136533,1.0,1.0,-9.483098090136533,0.0,5.336634139176121
2019-12-26,-74.26944886076672,6188.25,660.5,258.4482763484166,9.481482890023871,1.0,1.0,-9.481482890023871,0.010725856976852625,5.347359996152974
2019-12-27,-66.62169952520617,6188.0,659.75,258.59992375806786,9.480290563888149,1.0,1.0,-9.480290563888149,0.00847758462813876,5.355837580781113
2019-12-30,-53.56791240650455,6196.0,659.25,258.76731667072715,9.47981480835268,1.0,1.0,-9.47981480835268,0.04633832219597226,5.402175902977086
2019-12-31,-64.38599550377421,6149.0,655.5,258.9402384099469,9.478849726168992,1.0,1.0,-9.478849726168992,0.0,5.402175902977086
2020-01-01,-63.669281058797424,6149.0,655.5,259.0836881152197,9.477756340288021,1.0,1.0,-9.477756340288021,-0.0193301226023743,5.382845780374711
2020-01-02,-62.66736030622451,6163.5,657.0,259.2185093186442,9.476662648867922,1.0,1.0,-9.476662648867922,-0.18995540668328362,5.192890373691427
2020-01-03,-239.03425931833863,6104.0,669.5,259.9765705226387,9.474285674859356,1.0,1.0,-9.474285674859356,0.19276253839378357,5.385652912085211
2020-01-06,-99.63962911182807,6114.5,656.0,260.14944616977994,9.472773824865591,1.0,1.0,-9.472773824865591,-0.03036436529129983,5.355288546793911
2020-01-07,-106.81117589478708,6127.5,658.25,260.2779423093058,9.471038626501766,1.0,1.0,-9.471038626501766,0.2846255646040065,5.639914111397918
2020-01-08,102.79278515560964,6152.35,638.75,260.2006316617616,9.470931060421746,1.0,1.0,-9.470931060421746,0.1001085839144572,5.7400226953123745
2020-01-09,166.74149193106587,6152.5,632.0,260.1426025290499,9.471136879855909,-1.0,-1.0,9.471136879855909,-0.04816800543155274,5.691854689880822
2020-01-10,214.79414408337743,6172.25,629.0,260.03136325360555,9.471312966481117,-1.0,-1.0,9.471312966481117,-0.15435145315337595,5.537503236727446
2020-01-13,394.3279331415615,6265.25,619.75,260.68005234980166,9.473048917883725,-1.0,-1.0,9.473048917883725,0.0030631685300374707,5.540566405257483
2020-01-14,396.1403885638747,6270.0,620.0,260.9761978830626,9.473967115219557,-1.0,-1.0,9.473967115219557,-0.004849227480119114,5.5357171777773635
2020-01-15,383.00813485513936,6252.5,619.5,261.02756895890644,9.474563139862568,-1.0,-1.0,9.474563139862568,-0.07240606031084373,5.46331111746652
2020-01-16,425.6509237823111,6251.0,614.75,261.6275575395314,9.475964337076354,-1.0,-1.0,9.475964337076354,0.05455008730899994,5.51786120477552
2020-01-17,388.0527402474263,6247.25,618.25,261.99796682296585,9.477067949458267,-1.0,-1.0,9.477067949458267,0.04439535216569466,5.562256556941215
2020-01-20,348.05842260384725,6233.25,621.0,261.4629584901959,9.476959061829554,-1.0,-1.0,9.476959061829554,-0.1663246062063497,5.395931950734865
2020-01-21,356.5372318549489,6128.5,609.0,261.64178376830824,9.477771376264451,-1.0,-1.0,9.477771376264451,-0.17392973448726828,5.2220022162475965
2020-01-22,412.66837845715963,6073.75,597.25,261.87975598756407,9.478579525396134,-1.0,-1.0,9.478579525396134,0.05509504151221771,5.277097257759814
2020-01-23,273.98945628909405,5956.0,599.5,261.0133371484163,9.477915836048217,-1.0,-1.0,9.477915836048217,-0.22374883398821632,5.053348423771597
2020-01-24,357.74540036309463,5899.75,584.75,260.2975411389611,9.477562376463284,-1.0,-1.0,9.477562376463284,-0.4631104402689648,4.590237983502632
2020-01-27,462.56113675412143,5715.5,554.25,259.9479558220388,9.4775622250715,-1.0,-1.0,9.4775622250715,0.3918314160829866,4.982069399585619
2020-01-28,209.34143473891072,5675.0,576.75,259.0553779692297,9.47665117513843,-1.0,-1.0,9.47665117513843,-0.16566542761166742,4.816403971973951
2020-01-29,249.26496556981147,5612.75,566.0,258.3909504851467,9.47612196895793,-1.0,-1.0,9.47612196895793,-0.14693757355098566,4.669466398422966
2020-01-30,292.27810897795825,5568.25,556.75,258.26323992268294,9.476375197165769,-1.0,-1.0,9.476375197165769,-0.2437497428571021,4.425716655565863
2020-01-31,412.06015724497047,5551.25,542.25,258.78741192906483,9.477528525136062,-1.0,-1.0,9.477528525136062,-0.38465677873501647,4.041059876830847
2020-02-03,576.2419305597568,5503.5,519.75,260.54665711535654,9.480054005657033,-1.0,-1.0,9.480054005657033,0.09290292056335842,4.133962797394205
2020-02-04,608.7824358103262,5594.5,525.75,262.5768386110216,9.483057658943745,-1.0,-1.0,9.483057658943745,0.3322419698419882,4.466204767236193
