Date,Spread,LCPCASH,GOEUARA,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-10-13,2144.8817297048927,6681.75,333.5,1058.2005401962613,13.603802909430605,-1.0,-1.0,13.603802909430605,0.3334203852134894,1.5264872226974218
2020-10-14,2039.1258093704637,6702.5,341.75,1053.5624522617572,13.645571881871357,-1.0,-1.0,13.645571881871357,-0.12510447236290595,1.4013827503345158
2020-10-15,2101.563988080312,6738.15,338.75,1049.234361162921,13.687338780574724,-1.0,-1.0,13.687338780574724,-0.03827576346396764,1.363106986870548
2020-10-16,2087.4748250144894,6723.8,337.75,1045.3805028445545,13.72709156176317,-1.0,-1.0,13.72709156176317,-0.5335538093573382,0.8295531775132099
2020-10-19,2287.4462391622365,6758.75,324.75,1041.5914301884623,13.768448840147078,-1.0,-1.0,13.768448840147078,0.08820092631992155,0.9177541038331314
2020-10-20,2358.4250287632167,6879.0,327.25,1037.2232188650712,13.813827261227758,-1.0,-1.0,13.813827261227758,-0.3837089542845882,0.5340451495485432
2020-10-21,2564.3382774713473,6977.75,318.5,1034.6289804934606,13.856865690827794,-1.0,-1.0,13.856865690827794,0.15153596025584629,0.6855811098043895
2020-10-22,2433.821465100269,6907.0,321.75,1030.768995879068,13.902652789121154,-1.0,-1.0,13.902652789121154,0.06193860108499856,0.7475197108893881
2020-10-23,2347.2313469929313,6852.25,323.0,1026.7441431893142,13.947426170300522,-1.0,-1.0,13.947426170300522,-0.4184555816413009,0.32906412924808714
2020-10-26,2381.841010840283,6760.75,313.0,1023.5429969602807,13.990124566005484,-1.0,-1.0,13.990124566005484,0.25435944543783473,0.5834235746859219
2020-10-27,2305.1675243946675,6778.65,318.75,1019.5360373086673,14.034454825428494,-1.0,-1.0,14.034454825428494,-0.4661419233603318,0.1172816513255901
2020-10-28,2393.435771889831,6730.0,308.0,1015.456409552567,14.079753987370678,-1.0,-1.0,14.079753987370678,-0.3751303239824535,-0.2578486726568634
2020-10-29,2482.5687509480804,6716.5,299.75,1011.7771984441455,14.12487489258355,-1.0,-1.0,14.12487489258355,0.03668162221937765,-0.22116705043748575
2020-10-30,2448.6476600570204,6707.5,300.5,1007.1800220046453,14.172553543903426,-1.0,-1.0,14.172553543903426,0.34694084674033326,0.12577379630284752
2020-11-02,2372.9119329477026,6753.0,308.0,1002.0817334771557,14.2210651527672,-1.0,-1.0,14.2210651527672,0.3960110867250776,0.5217848830279251
2020-11-03,2286.061085150325,6807.0,316.75,995.9332506268405,14.272893180267324,-1.0,-1.0,14.272893180267324,0.5037713944491624,1.0255562774770874
2020-11-04,2131.379499852729,6828.5,328.0,990.554329274832,14.32048932971729,-1.0,-1.0,14.32048932971729,-0.1548969414674818,0.8706593360096057
2020-11-05,2181.304729487847,6842.75,324.5,986.3567428253793,14.365008537787837,-1.0,-1.0,14.365008537787837,-0.3676264706403215,0.5030328653692842
2020-11-06,2372.7550492468645,6935.0,316.5,981.5835107424153,14.414675989741344,-1.0,-1.0,14.414675989741344,0.8585282257801472,1.3615610911494314
2020-11-09,2053.0996100905704,6903.25,335.25,974.8009829774004,14.467264399431558,-1.0,-1.0,14.467264399431558,0.7321636210857103,2.093724712235142
2020-11-10,1799.0087189245432,6913.25,352.25,967.8909575682679,14.518782912918258,-1.0,-1.0,14.518782912918258,-0.18894732502588713,1.9047773872092548
2020-11-11,1802.4706994772496,6866.0,347.5,960.7888287164477,14.571307339633815,-1.0,-1.0,14.571307339633815,-0.13304130815876228,1.7717360790504926
2020-11-12,1877.454083862317,6915.75,344.5,953.8546927979311,14.624951861067295,-1.0,-1.0,14.624951861067295,-0.23018602732931087,1.5415500517211818
2020-11-13,1986.349968917776,6966.3,339.25,947.1844688647026,14.679292648731684,-1.0,-1.0,14.679292648731684,0.19819751852586032,1.739747570247042
2020-11-16,2019.9498183693431,7092.75,344.25,940.0105119691239,14.735802996748458,-1.0,-1.0,14.735802996748458,0.12416545035536772,1.8639130206024097
2020-11-17,1915.8048148740054,7047.0,347.0,933.9343294457539,14.787306009008631,-1.0,-1.0,14.787306009008631,0.1779196895538781,2.041832710156288
2020-11-18,1857.366530676979,7069.5,351.25,927.8927793591184,14.83881414753885,-1.0,-1.0,14.83881414753885,0.13634383038443026,2.178176540540718
2020-11-19,1797.1102264538285,7076.25,354.5,921.174475616296,14.891790616491315,-1.0,-1.0,14.891790616491315,0.05769530587249369,2.235871846413212
2020-11-20,1933.249614112824,7262.5,356.5,914.117759053743,14.948808936569918,-1.0,-1.0,14.948808936569918,0.265431067260264,2.501302913673476
2020-11-23,1722.2784180926383,7162.0,362.5,906.564027300405,15.006128501813413,-1.0,-1.0,15.006128501813413,0.6873645560803829,3.1886674697538586
2020-11-24,1562.3614862996337,7279.25,379.5,899.1703498352673,15.064264858235484,-1.0,-1.0,15.064264858235484,0.3666295440610483,3.555297013814907
2020-11-25,1406.0139174730639,7283.25,388.75,893.2022300276993,15.11829217370273,-1.0,-1.0,15.11829217370273,-0.2961938715037786,3.2591031423111283
2020-11-26,1597.4128456866974,7387.0,381.5,886.7272846719106,15.17585099426816,-1.0,-1.0,15.17585099426816,0.15545757849982966,3.414560720810958
2020-11-27,1612.1219417147659,7487.5,385.75,881.2487269172676,15.231051350058936,-1.0,-1.0,15.231051350058936,-0.17872628056660603,3.2358344402443517
2020-11-30,1735.3753443164742,7569.25,381.5,874.6955907864264,15.291938809131128,-1.0,-1.0,15.291938809131128,-0.28625357983932836,2.9495808604050233
2020-12-01,1932.7126666223794,7688.0,374.75,867.4022345165804,15.357671336564698,-1.0,-1.0,15.357671336564698,0.24868323190592345,3.198264092310947
2020-12-02,1793.6882168879574,7666.5,380.75,860.0540531993852,15.424325103380284,-1.0,-1.0,15.424325103380284,0.31369452739312026,3.511958619704067
2020-12-03,1649.2800535036986,7668.5,388.5,851.9077055936689,15.493487635769116,-1.0,-1.0,15.493487635769116,0.1487954121897775,3.6607540318938447
2020-12-04,1642.6746314430575,7750.75,392.5,844.0382441101132,15.561975461291574,-1.0,-1.0,15.561975461291574,-0.022543406538616664,3.638210625355228
2020-12-07,1571.1125493149011,7695.0,391.75,835.9776929449275,15.63213133550759,-1.0,-1.0,15.63213133550759,0.1317651097541372,3.769975735109365
2020-12-08,1476.400022108125,7679.0,395.0,827.6843539422505,15.702784754156646,-1.0,-1.0,15.702784754156646,-0.06308179835875069,3.7068939367506144
2020-12-09,1497.8805353599637,7705.5,393.5,819.1371274479578,15.775398893621439,-1.0,-1.0,15.775398893621439,0.5711789499944787,4.278072886745093
2020-12-10,1389.2846602304344,7860.75,408.25,809.98318412174,15.85172159159722,-1.0,-1.0,15.85172159159722,-0.10302612503620046,4.175046761708892
2020-12-11,1300.065194156884,7754.95,405.25,800.9334308722254,15.928154980488873,-1.0,-1.0,15.928154980488873,0.23917334391194184,4.414220105620834
