Date,Spread,WHEATSF,NAFCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-11-20,0.7697455284466459,6.13,371.0,1.170222597180094,0.014448125260251628,-1.0,-1.0,0.014448125260251628,-0.009398490883308552,0.579785621667229
2020-11-23,0.6715742716932844,6.19,381.0,1.1692841032913992,0.014484057029676421,-1.0,-1.0,0.014484057029676421,-0.018967931748713758,0.5608176899185152
2020-11-24,0.6177209168017352,6.31,392.0,1.1683733005762589,0.014521120110199653,-1.0,-1.0,0.014521120110199653,0.020639262374225916,0.5814569522927411
2020-11-25,0.45924097225358107,6.18,393.0,1.1680443237301608,0.014556638747446357,-1.0,-1.0,0.014556638747446357,-0.00011111937975149909,0.5813458329129896
2020-11-26,0.48779888318344256,6.18,390.0,1.1672699694559072,0.014595387479016814,-1.0,-1.0,0.014595387479016814,0.0,0.5813458329129896
2020-11-27,0.47380733304422495,6.18,390.0,1.166944345093511,0.01463126324860455,-1.0,-1.0,0.01463126324860455,0.01610619765423909,0.5974520305672286
2020-11-30,0.38961807998891373,6.08,388.0,1.1672220398224886,0.014665932783533727,-1.0,-1.0,0.014665932783533727,0.014764832783113496,0.6122168633503421
2020-12-01,0.30137602309053424,5.99,387.0,1.1680377352631173,0.014699286762039965,-1.0,-1.0,0.014699286762039965,-0.02819072112499154,0.5840261422253505
2020-12-02,0.38512626950778195,6.16,392.0,1.1690247718800066,0.014731820741051577,-1.0,-1.0,0.014731820741051577,0.006681412370305678,0.5907075545956563
2020-12-03,0.25924185628731067,6.12,397.0,1.1706692622282653,0.014762614971568487,-1.0,-1.0,0.014762614971568487,0.014705882352941124,0.6054134369485974
2020-12-04,0.15683369583382412,6.03,397.0,1.1725415450500345,0.014793869783793894,-1.0,-1.0,0.014793869783793894,-0.0026459947841259578,0.6027674421644714
2020-12-07,-0.10177517681286652,6.05,415.0,1.1755689145327912,0.01482355464292257,-1.0,-1.0,0.01482355464292257,0.013294579313424065,0.6160620214778955
2020-12-08,-0.22353498914179504,5.97,417.0,1.1791811034364736,0.014852601892426365,1.0,1.0,-0.014852601892426365,0.023593057266022992,0.6396550787439185
2020-12-09,-0.03739221476647803,6.11,413.0,1.1816481656518805,0.014884726912267502,1.0,1.0,-0.014884726912267502,0.02109639323968964,0.6607514719836081
2020-12-10,0.0043437987655767785,6.24,418.0,1.1838848655446916,0.014917837801996228,1.0,1.0,-0.014917837801996228,0.028846153846153744,0.6895976258297618
2020-12-11,0.16949262280279953,6.42,418.0,1.1853262641166753,0.014953366931093781,-1.0,-1.0,0.014953366931093781,0.027965835967373474,0.7175634617971353
2020-12-14,0.005933765180356154,6.24,416.0,1.187856747566104,0.014985736141393376,-1.0,-1.0,0.014985736141393376,-0.0044834816700179145,0.7130799801271174
2020-12-15,-0.11337038281029521,6.27,425.0,1.1908499602338123,0.015019695018377164,-1.0,-1.0,0.015019695018377164,0.0021956841324734582,0.7152756642595909
2020-12-16,-0.3910632295517331,6.26,442.0,1.1957043447826285,0.015047654365501657,1.0,1.0,-0.015047654365501657,0.01542972942432438,0.7307053936839153
2020-12-17,-0.542869712656108,6.36,458.0,1.2017169148265068,0.015071767931563555,1.0,1.0,-0.015071767931563555,-9.87233707307667e-05,0.7306066703131845
2020-12-18,-0.5989516771851822,6.36,461.0,1.2080584287199871,0.015095339863742261,1.0,1.0,-0.015095339863742261,0.005535600430542889,0.7361422707437274
2020-12-21,-0.20398237611809478,6.39,436.0,1.211985040328698,0.015123812789261684,1.0,1.0,-0.015123812789261684,0.0077622883753636785,0.743904559119091
2020-12-22,-0.19673885359978271,6.44,437.8,1.2152642486437606,0.015159293863864283,1.0,1.0,-0.015159293863864283,0.020082457190863216,0.7639870163099542
2020-12-23,-0.1279701318196782,6.57,440.8,1.2181896697008596,0.01519503205948203,1.0,1.0,-0.01519503205948203,0.0002344061206998139,0.764221422430654
2020-12-24,-0.03959004108040265,6.57,434.0,1.2209077817222884,0.015229470140738256,1.0,1.0,-0.015229470140738256,0.0,0.764221422430654
2020-12-25,-0.0530792176197048,6.57,434.0,1.2239922217030998,0.01526055119267213,1.0,1.0,-0.01526055119267213,-0.022831050228310557,0.7413903722023435
2020-12-28,-0.21493395175817298,6.42,434.0,1.2281178844320673,0.015287866248290722,1.0,1.0,-0.015287866248290722,0.006149510948999291,0.7475398831513428
2020-12-29,-0.22317131881869567,6.46,436.3,1.2321234426276226,0.015317834789866366,1.0,1.0,-0.015317834789866366,0.03380294641623077,0.7813428295675735
2020-12-30,-0.1275399492993765,6.68,443.5,1.2355656140880884,0.015349582749265785,1.0,1.0,-0.015349582749265785,0.007311979401796725,0.7886548089693702
2020-12-31,-0.16799502507690178,6.73,448.5,1.2393106735964887,0.015380144983449057,1.0,1.0,-0.015380144983449057,0.0,0.7886548089693702
2021-01-01,-0.18097757829268346,6.73,448.5,1.2432557406116203,0.015409091590396174,1.0,1.0,-0.015409091590396174,0.0013828132542816108,0.7900376222236518
2021-01-04,-0.2309975357610794,6.74,451.5,1.247267481778461,0.015439640167798625,1.0,1.0,-0.015439640167798625,0.017017638856691907,0.8070552610803438
2021-01-05,-0.47873958232548297,6.86,474.5,1.2527372530856364,0.015466258339990482,1.0,1.0,-0.015466258339990482,-0.00928417078019943,0.7977710903001444
2021-01-06,-0.8052427036443852,6.8,491.0,1.2602371261582928,0.015489292675446813,1.0,1.0,-0.015489292675446813,-0.007573766122963692,0.7901973241771807
2021-01-07,-0.9716203982217495,6.75,498.0,1.269148426970638,0.015505261843818775,1.0,1.0,-0.015505261843818775,0.013037550225871013,0.8032348744030517
2021-01-08,-1.035595835858028,6.84,507.5,1.2784652722419132,0.01551841544011434,1.0,1.0,-0.01551841544011434,-0.005924398612631047,0.7973104757904207
2021-01-11,-1.1186431321131698,6.8,510.0,1.2883961146634428,0.015526751239437588,1.0,1.0,-0.015526751239437588,0.04395629062437454,0.8412667664147953
2021-01-12,-0.906116004808835,7.1,515.3,1.2966152207182764,0.015536805753558772,1.0,1.0,-0.015536805753558772,-0.006792000294356835,0.8344747661204385
2021-01-13,-0.8284414941730072,7.05,507.0,1.3041754793406726,0.015539332335646956,1.0,1.0,-0.015539332335646956,0.014199721948461462,0.8486744880688999
