Date,Spread,CRUDOIL,OILWTIN,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-11-15,0.02012191698653254,56.46,56.45,0.48229113426551734,0.9998206923474484,-1.0,-1.0,0.9998206923474484,0.0007084646181382181,-0.24434781835665995
2018-11-16,-0.019637809007917895,56.46,56.49,0.4822822640983729,0.9998165659233124,-1.0,-1.0,0.9998165659233124,-0.0012482934954178536,-0.2455961118520778
2018-11-19,0.05036741326359362,57.2,57.16,0.48230188069615043,0.9998186246804831,1.0,1.0,-0.9998186246804831,-0.0038119939671864,-0.2494081058192642
2018-11-20,-0.16982014200431195,53.21,53.39,0.48239589130222876,0.999809330249191,-1.0,-1.0,0.999809330249191,0.07529350359541893,-0.17411460222384528
2018-11-21,-4.168447658880936,50.22,54.41,0.548659787701948,0.9996038900731655,1.0,1.0,-0.9996038900731655,0.0,-0.17411460222384528
2018-11-22,-4.15765901171936,50.22,54.41,0.6069588459697656,0.9994056058025981,0.0,0.0,-0.0,0.0,-0.17411460222384528
2018-11-23,-4.146391456628706,50.22,54.41,0.6594900617433253,0.9991985196954366,0.0,0.0,-0.0,0.0,-0.17411460222384528
2018-11-26,-0.03843888000788809,51.38,51.46,0.6594700205133674,0.9991923606686337,0.0,0.0,-0.0,0.0,-0.17411460222384528
2018-11-27,0.2914253804665137,51.56,51.31,0.659658944600128,0.9991926450893293,1.0,1.0,-0.9991926450893293,-0.0002894429802604119,-0.17440404520410568
2018-11-28,0.2703183021712974,50.29,50.06,0.6598867721900836,0.9991946004360507,-1.0,-1.0,0.9991946004360507,0.004877700165369345,-0.16952634503873634
2018-11-29,0.03154616275616462,51.45,51.46,0.6599030238862705,0.9991926513261531,-1.0,-1.0,0.9991926513261531,-0.0030965785834191836,-0.17262292362215553
2018-11-30,0.19069585714896675,50.93,50.78,0.6600935888251686,0.9991985849320802,-1.0,-1.0,0.9991985849320802,0.0036271411793032185,-0.16899578244285232
2018-12-03,0.012661844628254926,52.95,52.98,0.6600882243253935,0.999194755669531,-1.0,-1.0,0.999194755669531,-0.0013279573021402471,-0.17032373974499257
2018-12-04,0.08278950208097058,53.25,53.21,0.6601444087110663,0.9991958372095288,-1.0,-1.0,0.9991958372095288,-0.003943094338369618,-0.1742668340833622
2018-12-05,0.2916943424035239,52.89,52.64,0.6605241839558413,0.9992079342248571,-1.0,-1.0,0.9992079342248571,0.005589927133683736,-0.16867690694967846
2018-12-06,-0.008843981695406455,51.49,51.54,0.6604920218321472,0.9992014742276951,-1.0,-1.0,0.9992014742276951,0.001900236878822674,-0.16677667007085578
2018-12-07,-0.1075513917933506,52.61,52.76,0.6604965783482862,0.9991954395715192,1.0,1.0,-0.9991954395715192,0.0014035237077184223,-0.16537314636313735
2018-12-10,-0.028769589648739213,51.0,51.07,0.6604982643927654,0.9991926686831553,1.0,1.0,-0.9991926686831553,0.0013973058356474052,-0.16397584052748995
2018-12-11,0.04137038733705367,51.65,51.65,0.6605117928135988,0.9991990244465236,1.0,1.0,-0.9991990244465236,0.0021202595336374894,-0.16185558099385247
2018-12-12,0.15029841811106337,51.15,51.04,0.6606293459762476,0.9992104541906139,-1.0,-1.0,0.9992104541906139,0.004345072849367637,-0.15751050814448483
2018-12-13,-0.06689097032504066,52.58,52.69,0.6599763155970401,0.9991818365975524,-1.0,-1.0,0.9991818365975524,-0.000871949080390972,-0.15838245722487582
2018-12-14,-0.017965193262462265,51.2,51.26,0.6599821564998901,0.9991799686551398,1.0,1.0,-0.9991799686551398,0.0026776410307550458,-0.15570481619412077
2018-12-17,0.1206975151589802,49.88,49.8,0.6600793514428258,0.9991827808201009,1.0,1.0,-0.9991827808201009,0.0008600531053196275,-0.15484476308880113
2018-12-18,0.15740758240274744,46.24,46.12,0.6602269756942124,0.9991889075801661,-1.0,-1.0,0.9991889075801661,0.0035313844652906656,-0.15131337862351046
2018-12-19,-0.0010737095186215129,47.92,47.96,0.6602385756148383,0.9991883592476777,-1.0,-1.0,0.9991883592476777,-0.0005464027159288593,-0.15185978133943934
2018-12-20,0.02711537834149169,45.63,45.64,0.6602569654012127,0.9991867796156554,1.0,1.0,-0.9991867796156554,0.0004324269440051905,-0.15142735439543414
2018-12-21,0.046995178152059225,45.39,45.38,0.6602808156422509,0.9991847691019818,-1.0,-1.0,0.9991847691019818,0.0,-0.15142735439543414
2018-12-24,0.047114431954604186,45.39,45.38,0.6603005563014455,0.9991821412085807,-1.0,-1.0,0.9991821412085807,0.0,-0.15142735439543414
2018-12-25,0.04702583809190486,45.39,45.38,0.6603366260032147,0.9991840934752775,-1.0,-1.0,0.9991840934752775,0.0006522763064246082,-0.15077507808900953
