Date,Spread,CRUDOIL,EIANYGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2021-01-06,0.5834492758237033,50.51,1.503,4.338925878731063,33.21793128687711,-1.0,-1.0,33.21793128687711,0.19495015622687006,25.847472566463342
2021-01-07,0.5003187166755652,50.71,1.512,4.332433423180928,33.207461166219865,-1.0,-1.0,33.207461166219865,1.3778016552167762,27.225274221680117
2021-01-08,-0.19274514005928722,52.12,1.576,4.325389314085851,33.19336620562137,-1.0,-1.0,33.19336620562137,-0.568859940784821,26.656414280895294
2021-01-11,0.7245164063516967,52.13,1.549,4.32040672036172,33.18623860145146,1.0,1.0,-33.18623860145146,-0.7102024823473484,25.946211798547946
2021-01-12,0.5587852758865495,53.08,1.583,4.315157731616507,33.17827841068443,-1.0,-1.0,33.17827841068443,-0.16202107052458134,25.784190728023365
2021-01-13,0.5387810839888374,52.78,1.575,4.308874683021933,33.16902788318169,-1.0,-1.0,33.16902788318169,0.42974896846642446,26.21393969648979
2021-01-14,0.5139183048804199,53.44,1.596,4.304130521068076,33.161705322756625,-1.0,-1.0,33.161705322756625,-0.7047752900646568,25.509164406425132
2021-01-15,0.4797887323928762,52.24,1.561,4.301801259705946,33.15836724382263,-1.0,-1.0,33.15836724382263,0.0,25.509164406425132
2021-01-18,0.47888475289104804,52.24,1.561,4.300950372961069,33.15894634664251,-1.0,-1.0,33.15894634664251,0.39192336785210796,25.90108777427724
2021-01-19,0.4603627069404652,52.85,1.58,4.299615106657809,33.15799828674654,-1.0,-1.0,33.15799828674654,-0.04840545152759934,25.85268232274964
2021-01-20,0.8620342257873546,53.19,1.578,4.2990954262840155,33.16094155526783,-1.0,-1.0,33.16094155526783,0.21221344165256636,26.064895764402205
2021-01-21,0.42095308364525863,53.08,1.588,4.2980324928675016,33.16060888939215,-1.0,-1.0,33.16060888939215,-0.19318318054314298,25.87171258385906
2021-01-22,-0.07770172737917846,52.25,1.578,4.297692264104682,33.160774225208606,-1.0,-1.0,33.160774225208606,0.4109106562767124,26.282623240135774
2021-01-25,-0.2479031228741917,52.74,1.598,4.297107244310021,33.15888806187371,1.0,1.0,-33.15888806187371,-0.27278690742293277,26.00983633271284
2021-01-26,-0.8434691589856342,52.58,1.611,4.297601362431167,33.161681662933354,1.0,1.0,-33.161681662933354,0.08709278908327958,26.09692912179612
2021-01-27,-0.4730664577708126,52.83,1.607,4.297280208639246,33.169300844910275,1.0,1.0,-33.169300844910275,-0.23688851102287434,25.860040610773243
2021-01-28,-1.3583114324106447,52.31,1.618,4.298445662924317,33.16953735006838,1.0,1.0,-33.16953735006838,0.48952278610482364,26.349563396878068
2021-01-29,-0.7057601689219979,52.18,1.594,4.2980274441895405,33.178017671845666,1.0,1.0,-33.178017671845666,-0.6818147190520236,25.667748677826044
2021-02-01,-0.4963019261855237,53.53,1.628,4.29785975460587,33.185689143848606,1.0,1.0,-33.185689143848606,-0.5685414210800575,25.099207256745988
2021-02-02,-0.2608289389840195,54.74,1.657,4.297808745974141,33.193016861185285,1.0,1.0,-33.193016861185285,-0.543906474910814,24.555300781835175
2021-02-03,-0.27254073169834214,55.67,1.685,4.297770118465029,33.20032090901979,1.0,1.0,-33.20032090901979,0.06881038159923382,24.62411116343441
2021-02-04,0.3431426929895025,56.21,1.682,4.296837502790463,33.214540610588884,1.0,1.0,-33.214540610588884,0.20850058075079786,24.832611744185208
2021-02-05,1.2587894516275924,56.83,1.672,4.2955282886987,33.23636994519881,-1.0,-1.0,33.23636994519881,0.5171797782652003,25.34979152245041
2021-02-08,1.437187110679588,57.94,1.699,4.295289801550143,33.25651141219565,-1.0,-1.0,33.25651141219565,-0.22204694901089037,25.127744573439518
2021-02-09,2.1527360578454733,58.33,1.688,4.295914139130452,33.2803696339778,-1.0,-1.0,33.2803696339778,-0.5378142150463566,24.58993035839316
2021-02-10,3.318218407671935,58.65,1.661,4.297961893174069,33.312330880390164,-1.0,-1.0,33.312330880390164,0.1276651534584266,24.717595511851588
2021-02-11,2.6459941662813904,58.22,1.667,4.2993275859794515,33.33773595304056,-1.0,-1.0,33.33773595304056,0.8788121223921193,25.596407634243707
2021-02-12,2.341752346666901,59.45,1.712,4.300958744256339,33.35762129283476,-1.0,-1.0,33.35762129283476,0.0,25.596407634243707
2021-02-15,2.3092486744533502,59.45,1.712,4.302546217013608,33.37660708267912,-1.0,-1.0,33.37660708267912,1.6083854841343341,27.204793118378042
2021-02-16,0.08978662873501975,60.03,1.795,4.2995313600168235,33.39287652995264,-1.0,-1.0,33.39287652995264,0.6515602701096085,27.85635338848765
2021-02-17,-0.05362267429117651,61.12,1.831,4.296304052244825,33.409952307095125,-1.0,-1.0,33.409952307095125,-0.628331584099696,27.228021804387954
2021-02-18,0.4571352236291517,60.49,1.796,4.294752482980598,33.425871256331206,1.0,1.0,-33.425871256331206,-0.20472415580157946,27.023297648586375
2021-02-19,0.05237076911286209,60.49,1.807,4.2898572803865385,33.446391383999526,-1.0,-1.0,33.446391383999526,0.9985067696545138,28.02180441824089
2021-02-22,-0.6339385175180965,61.67,1.862,4.286712625484119,33.46076182466063,-1.0,-1.0,33.46076182466063,0.5936696341114397,28.61547405235233
2021-02-23,-1.7963407539703695,61.63,1.895,4.282765408359073,33.47036451396853,1.0,1.0,-33.47036451396853,-0.3987489863964026,28.216725065955927
2021-02-24,-1.0780863429028003,63.18,1.919,4.2690215003224115,33.485193508547574,1.0,1.0,-33.485193508547574,0.12768477964305452,28.34440984559898
2021-02-25,-0.5188532095294249,63.53,1.912,4.262343192668076,33.49835418908443,1.0,1.0,-33.49835418908443,0.2628008958348646,28.607210741433846
2021-02-26,-0.03606869630604592,63.53,1.897,4.259240736127075,33.508734157251475,1.0,1.0,-33.508734157251475,0.44926094851552,29.056471689949365
2021-03-01,-1.9528956344751194,60.65,1.869,4.259569536909201,33.495396273127405,1.0,1.0,-33.495396273127405,-0.21181152481447987,28.844660165134886
2021-03-02,-3.1787558690110913,59.76,1.88,4.264716761001809,33.47806163245271,1.0,1.0,-33.47806163245271,-0.686864110041359,28.157796055093527
2021-03-03,-2.949994881566809,61.28,1.92,4.252987691400875,33.453122334149384,1.0,1.0,-33.453122334149384,-0.9863743001859966,27.17142175490753
2021-03-04,-2.3383732052486863,63.83,1.979,4.250135876250705,33.435256799013985,1.0,1.0,-33.435256799013985,-1.1641403097331244,26.007281445174407
2021-03-05,-2.431447235290463,66.09,2.05,4.253146219748605,33.42509621233682,1.0,1.0,-33.42509621233682,0.4246481659096039,26.431929611084012
