Date,Spread,EIAEBRT,OILBREN,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-02-12,0.5395060871959245,62.58,62.66,0.8745322899637855,0.9901132127801481,-1.0,-1.0,0.9901132127801481,0.00651362264980496,0.16839874583236925
2019-02-13,0.1332235690118111,63.27,63.77,0.872427016456384,0.9900701965028726,-1.0,-1.0,0.9900701965028726,-0.005482853225426495,0.16291589260694275
2019-02-14,0.47980140140394667,64.0,64.16,0.8695708927330089,0.9900280330205121,-1.0,-1.0,0.9900280330205121,0.001839544562137186,0.16475543716907995
2019-02-15,0.35993254623789994,65.65,65.95,0.8676653105831251,0.989993441300411,-1.0,-1.0,0.989993441300411,-0.0022695531322914925,0.16248588403678846
2019-02-18,0.5080195179377966,66.41,66.57,0.8659577452894113,0.98996515670816,-1.0,-1.0,0.98996515670816,0.0018873379038127774,0.16437322194060122
2019-02-19,0.3856594830372302,65.86,66.14,0.8644116139721728,0.9899355989864344,-1.0,-1.0,0.9899355989864344,-0.000656807948263732,0.1637164139923375
2019-02-20,0.4264752425350764,66.82,67.07,0.8637018517763445,0.9899138923134774,-1.0,-1.0,0.9899138923134774,-1.8554871374175125e-05,0.16369785912096332
2019-02-21,0.4288263957617886,66.91,67.16,0.8630319877408809,0.9898924003013433,-1.0,-1.0,0.9898924003013433,0.0014739315072980824,0.1651717906282614
2019-02-22,0.3302475394453239,66.91,67.26,0.863435076331578,0.9898862988485678,-1.0,-1.0,0.9898862988485678,0.008165149130477542,0.17333693975873893
2019-02-25,-0.201707255371673,64.02,64.88,0.862821039839812,0.9898536876598593,-1.0,-1.0,0.9898536876598593,-0.00017808278471465652,0.17315885697402428
2019-02-26,-0.19470419178902887,64.51,65.37,0.8623158973394243,0.9898226126937285,1.0,1.0,-0.9898226126937285,-0.0017458492557666273,0.17141300771825765
2019-02-27,-0.32054142602632396,65.55,66.55,0.8619619359851849,0.989790254335482,1.0,1.0,-0.989790254335482,-5.02485480032757e-05,0.17136275917025437
