Date,Spread,CRUDOIL,ETHANYH,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-07-25,-13.861825321399643,55.85,1.74,9.905997561163877,40.06426742609175,1.0,1.0,-40.06426742609175,0.006266786034019756,-0.8526770557119222
2019-07-26,-13.413746404483376,56.2,1.74,9.913309644490804,40.007900232461715,1.0,1.0,-40.007900232461715,0.011921708185053337,-0.8407553475268689
2019-07-29,-12.650209264627968,56.87,1.74,9.917866629876361,39.95414325553331,1.0,1.0,-39.95414325553331,0.020749076841920067,-0.8200062706849488
2019-07-30,-11.36601140711494,58.05,1.74,9.90185260399452,39.8942594293764,1.0,1.0,-39.8942594293764,0.009130060292851017,-0.8108762103920978
2019-07-31,-10.737034904060408,58.58,1.74,9.885797080706407,39.837376381643914,1.0,1.0,-39.837376381643914,-0.0790372140662341,-0.8899134244583319
2019-08-01,-15.24377869995628,53.95,1.74,9.887120197766732,39.7665394827335,1.0,1.0,-39.7665394827335,0.03169601482854478,-0.8582174096297871
2019-08-02,-13.429615687359018,55.66,1.74,9.888737532794408,39.70667568239024,1.0,1.0,-39.70667568239024,-0.017427236794825718,-0.8756446464246128
2019-08-05,-14.288414626766055,54.69,1.74,9.891848113722132,39.642767026877046,1.0,1.0,-39.642767026877046,-0.019381971109892038,-0.8950266175345049
2019-08-06,-15.229718372021402,53.63,1.74,9.896964432785438,39.574550788518046,1.0,1.0,-39.574550788518046,-0.047361551370501576,-0.9423881689050064
2019-08-07,-17.635194222927538,51.09,1.74,9.911490011594928,39.49723805915376,1.0,1.0,-39.49723805915376,0.028381287923272547,-0.9140068809817339
2019-08-08,-16.061664643984905,52.54,1.74,9.919932315366953,39.426244048267186,1.0,1.0,-39.426244048267186,3.889294271581943,2.9752873906002093
2019-08-09,-7.320189183382965,54.5,1.57,9.886301389781375,39.37591667731399,1.0,1.0,-39.37591667731399,0.007889908256880629,2.9831772988570897
2019-08-12,-6.81452347269952,54.93,1.57,9.853870114217687,39.32772195713345,1.0,1.0,-39.32772195713345,0.03950482432186431,3.022682123178954
2019-08-13,-4.564867008947608,57.1,1.57,9.79424227960644,39.27698535601758,1.0,1.0,-39.27698535601758,-0.03274956217162883,2.989932561007325
2019-08-14,-6.350828780942912,55.23,1.57,9.741729097920675,39.22345782225663,1.0,1.0,-39.22345782225663,-0.013760637334781833,2.9761719236725432
2019-08-15,-7.024930092840428,54.47,1.57,9.692004398166036,39.168745282063966,1.0,1.0,-39.168745282063966,3.749580302218646,6.725752225891189
2019-08-16,-0.6938236516705913,54.87,1.42,9.637536116707118,39.12945327582436,1.0,1.0,-39.12945327582436,0.0244213595771825,6.750173585468372
2019-08-19,0.6997380067254184,56.21,1.42,9.580750133901159,39.091733798080696,1.0,1.0,-39.091733798080696,-0.0014232342999466185,6.748750351168425
2019-08-20,0.6739117985859835,56.13,1.42,9.521393359138843,39.05358324043241,-1.0,-1.0,39.05358324043241,0.007126313914127991,6.755876665082553
2019-08-21,0.3294978477425019,55.73,1.42,9.46148853758536,39.0144381353926,-1.0,-1.0,39.0144381353926,0.008074645612775821,6.7639513106953295
2019-08-22,-0.0630821056136881,55.28,1.42,9.400471059333665,38.974001482826544,-1.0,-1.0,38.974001482826544,0.5702754738923607,7.33422678458769
2019-08-23,-1.961164912075951,54.1,1.44,9.344889976486733,38.93136452227497,1.0,1.0,-38.93136452227497,-0.008502772643253276,7.325724011944437
2019-08-26,-2.3614513804041835,53.64,1.44,9.295469393542186,38.88989679194735,1.0,1.0,-38.88989679194735,0.024049217002237055,7.349773228946674
2019-08-27,-1.0166169964682084,54.93,1.44,9.248220396429913,38.85181735865848,1.0,1.0,-38.85181735865848,0.015474239941744017,7.365247468888418
2019-08-28,-0.11569900487808837,55.78,1.44,9.20431504998251,38.816457642276454,1.0,1.0,-38.816457642276454,0.016672642524202308,7.3819201114126205
2019-08-29,0.8677566907258694,56.71,1.44,9.151213910170544,38.77933563144037,1.0,1.0,-38.77933563144037,-1.3748947640890972,6.007025347323523
2019-08-30,-2.607974816237231,55.1,1.49,9.083535532748796,38.73018444042767,-1.0,-1.0,38.73018444042767,0.0,6.007025347323523
2019-09-02,-2.5412917373614192,55.1,1.49,9.029044995457507,38.68543069621572,1.0,1.0,-38.68543069621572,-0.021052631578947434,5.985972715744576
2019-09-03,-3.6286607788660774,53.94,1.49,8.970741852854037,38.6366850864873,1.0,1.0,-38.6366850864873,0.043010752688172005,6.028983468432748
2019-09-04,-1.2455585438109225,56.26,1.49,8.915964004119669,38.59433459316169,1.0,1.0,-38.59433459316169,0.0007109847138286884,6.029694453146576
