Date,Spread,EIAEBRT,EIALALS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-07-31,2.438131007721438,74.16,2.186,2.7987900016678777,32.809638148343346,-1.0,-1.0,32.809638148343346,-0.49996383266812194,1.7303255366176382
2018-08-01,1.6887505907285032,72.28,2.151,2.7929925086857312,32.81787513215784,-1.0,-1.0,32.81787513215784,0.43318441109371486,2.1635099477113533
2018-08-02,1.385404725431954,72.95,2.18,2.7799959790562427,32.827795997508275,-1.0,-1.0,32.827795997508275,0.036560013054286966,2.2000699607656404
2018-08-03,0.8355321284986417,72.48,2.182,2.774334776577103,32.83431158180631,-1.0,-1.0,32.83431158180631,0.10492073115365555,2.304990691919296
2018-08-06,0.6206545378357191,72.51,2.189,2.7668392512755102,32.84118111565294,-1.0,-1.0,32.84118111565294,0.16778930112540763,2.472779993044704
2018-08-07,0.043823206719096675,72.31,2.2,2.7564551631212084,32.848262178764045,-1.0,-1.0,32.848262178764045,-0.7393554880217024,1.7334245050230015
2018-08-08,0.11221650706410458,70.71,2.149,2.7560543864826452,32.851458116768676,-1.0,-1.0,32.851458116768676,0.3538605003405567,2.087285005363558
2018-08-09,-0.8052440644251675,70.55,2.172,2.7589772506760197,32.85232231327125,-1.0,-1.0,32.85232231327125,0.49275903871346544,2.5800440440770234
2018-08-10,-1.45192281848027,71.0,2.205,2.7485821373368786,32.858014883664524,1.0,1.0,-32.858014883664524,0.2628765802518206,2.842920624328844
2018-08-13,-1.2541738298811538,70.62,2.187,2.736418450525129,32.86427701412033,1.0,1.0,-32.86427701412033,0.19747639954525906,3.040397023874103
2018-08-14,-0.6918493106970374,70.77,2.174,2.724477733819896,32.87113583748714,1.0,1.0,-32.87113583748714,0.525672982129559,3.5660700060036623
2018-08-15,-1.8777566271286759,68.38,2.137,2.7131630685881016,32.876816390794886,1.0,1.0,-32.876816390794886,-0.04940020978318646,3.516669796220476
2018-08-16,-1.2001554528494012,69.21,2.141,2.6860871304995975,32.88657424233975,1.0,1.0,-32.88657424233975,-0.06336453700410032,3.4533052592163758
2018-08-17,-0.4554313067553011,70.14,2.146,2.6639896085252497,32.89628672262596,1.0,1.0,-32.89628672262596,-0.29275287140072087,3.1605523878156547
2018-08-20,-0.1761055016624482,71.11,2.166,2.616842388467971,32.9114060487823,1.0,1.0,-32.9114060487823,-0.15954623593334125,3.0010061518823137
2018-08-21,-0.028302206522909046,71.65,2.177,2.578635595115087,32.92526513850387,1.0,1.0,-32.92526513850387,-0.647179088078711,2.3538270638036027
2018-08-22,-0.19919404872695168,72.96,2.221,2.5340676392592716,32.93975418672983,1.0,1.0,-32.93975418672983,-0.07843255068731042,2.2753945131162925
2018-08-23,0.33928645583259254,73.73,2.227,2.4918717939783637,32.954967913860536,1.0,1.0,-32.954967913860536,-0.40511892083641815,1.8702755922798744
2018-08-24,0.06682455372934726,74.41,2.255,2.4595129442444525,32.968148756661044,-1.0,-1.0,32.968148756661044,0.26316038918842743,2.1334359814683017
2018-08-27,-0.5589279702944054,74.41,2.273,2.415315630167388,32.98237042247884,-1.0,-1.0,32.98237042247884,-0.03466908256159575,2.098766898906706
2018-08-28,0.935290723951212,75.91,2.272,2.3692440493367184,32.99943189966936,1.0,1.0,-32.99943189966936,-0.477197369635912,1.621569529270794
2018-08-29,-0.025560701061820623,76.07,2.305,2.3313195659966963,33.01325843863853,-1.0,-1.0,33.01325843863853,0.0014395838142395173,1.6230091130850335
2018-08-30,0.8882906056637552,77.05,2.306,2.299973247263225,33.02762766449967,1.0,1.0,-33.02762766449967,0.21340948265898807,1.8364185957440216
2018-08-31,1.2346219533199019,76.94,2.291,2.257819205784628,33.04468705660415,-1.0,-1.0,33.04468705660415,-0.011307512347283666,1.8251110833967379
2018-09-03,2.0654354668699852,77.81,2.291,2.226225043381938,33.061791590192065,-1.0,-1.0,33.061791590192065,0.04714903083712048,1.8722601142338584
2018-09-04,1.6231496397930272,77.51,2.294,2.1784900660618467,33.080579930343056,-1.0,-1.0,33.080579930343056,-0.1623374580730806,1.7099226561607779
2018-09-05,1.1492998731482942,76.68,2.282,2.128253107166743,33.098466313256665,-1.0,-1.0,33.098466313256665,-0.36393623225043376,1.345986423910344
2018-09-06,0.9720024980374546,75.67,2.256,2.1078087280845774,33.11081449555078,-1.0,-1.0,33.11081449555078,0.10432328954805185,1.450309713458396
2018-09-07,0.5915586345888642,75.55,2.263,2.0837615699366374,33.123482706765856,-1.0,-1.0,33.123482706765856,-0.0015112675349334033,1.4487984459234626
2018-09-10,1.7470823845684151,76.77,2.264,2.0638884647357347,33.13733110222243,-1.0,-1.0,33.13733110222243,0.5226677364869438,1.9714661824104063
2018-09-11,1.937543994973737,78.22,2.301,2.0432726143981563,33.15187136246252,-1.0,-1.0,33.15187136246252,-0.02301201738685754,1.9484541650235487
2018-09-12,3.694379383795777,80.02,2.301,2.024207854631967,33.170630428598095,-1.0,-1.0,33.170630428598095,-0.460642720645777,1.4878114443777717
2018-09-13,2.4290043366489726,77.66,2.267,2.0086405605096225,33.18526495957258,-1.0,-1.0,33.18526495957258,-0.39794103959275096,1.0898704047850207
2018-09-14,3.493957820265308,77.87,2.24,1.9868933068990358,33.20359025881013,-1.0,-1.0,33.20359025881013,0.03997442349176093,1.1298448282767817
2018-09-17,3.7037090150531355,78.22,2.243,1.968509884308808,33.22170797367225,-1.0,-1.0,33.22170797367225,0.41635922191930275,1.5462040501960845
2018-09-18,3.7255006166053306,79.25,2.272,1.9401813673582793,33.24141698212794,-1.0,-1.0,33.24141698212794,0.14403776024312726,1.6902418104392118
2018-09-19,3.53208746475525,79.43,2.282,1.9160283037694885,33.259383231921454,-1.0,-1.0,33.259383231921454,-0.1844347512587757,1.5058070591804362
2018-09-20,3.529622001816932,79.03,2.269,1.9039649422045104,33.27473688769637,-1.0,-1.0,33.27473688769637,-0.05701479393652014,1.448792265243916
2018-09-21,3.4959841322426257,78.9,2.265,1.8875211031256962,33.29095623300547,-1.0,-1.0,33.29095623300547,0.9301478051741696,2.3789400704180856
2018-09-24,3.288329547596163,80.89,2.33,1.8775913283332668,33.30543796240508,-1.0,-1.0,33.30543796240508,0.16950587481503293,2.5484459452331185
2018-09-25,4.137694576807249,82.21,2.343,1.8697244078895872,33.32151319811897,-1.0,-1.0,33.32151319811897,0.07524439949929321,2.623690344732412
2018-09-26,3.596804491567596,81.87,2.348,1.861026637934925,33.33611393033748,-1.0,-1.0,33.33611393033748,0.11761208861585863,2.7413024333482703
2018-09-27,2.9686728956543504,81.54,2.356,1.8517956755763916,33.34945972170868,-1.0,-1.0,33.34945972170868,0.42433725548135215,3.1656396888296223
2018-09-28,3.078693549357766,82.72,2.387,1.8363827225345872,33.36460261861845,-1.0,-1.0,33.36460261861845,0.7698873812519822,3.9355270700816045
2018-10-01,3.3579781659916677,84.94,2.444,1.821110969551038,33.38053266530619,-1.0,-1.0,33.38053266530619,-0.03543969272033427,3.9000873773612703
2018-10-02,4.070549481661459,85.63,2.442,1.8056470881802236,33.39862838588802,-1.0,-1.0,33.39862838588802,-0.2851097249836592,3.614977652377611
2018-10-03,4.5471323300105695,85.45,2.421,1.794992830835515,33.41712832300266,-1.0,-1.0,33.41712832300266,0.17218364567306038,3.7871612980506715
2018-10-04,4.687626699441637,86.07,2.434,1.7861703436242908,33.43565049324501,0.0,0.0,-0.0,0.0,3.7871612980506715
2018-10-05,4.06629195114499,85.12,2.423,1.7785432705511994,33.451798616943876,0.0,0.0,-0.0,-0.0,3.7871612980506715
2018-10-08,3.003564051527249,84.22,2.427,1.773988287018304,33.46371485309961,-1.0,-1.0,33.46371485309961,0.3611174128438176,4.148278710894489
2018-10-09,3.007730191484413,85.16,2.454,1.7658381020076124,33.476882562557286,-1.0,-1.0,33.476882562557286,-0.44808480190953515,3.7001939089849545
2018-10-10,2.777212422169285,83.82,2.42,1.7593717794168549,33.48875519745071,-1.0,-1.0,33.48875519745071,-0.7869934796246202,2.913200429360334
2018-10-11,2.2535236048270804,81.35,2.361,1.7461587050018152,33.501260650221475,-1.0,-1.0,33.501260650221475,0.06462498813870445,2.9778254174990386
2018-10-12,1.4532623996224174,80.71,2.365,1.733429842141802,33.51236262172413,-1.0,-1.0,33.51236262172413,-0.016648139868604722,2.961177277630434
