Date,Spread,WHEATSF,EIANYGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-05-30,0.02504296027392794,5.35,2.122,0.5701679334337172,2.5094048255071026,-1.0,-1.0,2.5094048255071026,-0.04177104641868692,0.7279722966285144
2018-05-31,0.14043389980400267,5.39,2.093,0.5682910947284991,2.508153894025799,-1.0,-1.0,2.508153894025799,-0.006417672379793279,0.7215546242487211
2018-06-01,0.13863710427651554,5.36,2.083,0.5650703965798544,2.5066552547880385,-1.0,-1.0,2.5066552547880385,0.007107574139210787,0.7286621983879319
2018-06-04,0.01781531021743188,5.18,2.061,0.5609243913495495,2.504699024639771,-1.0,-1.0,2.504699024639771,-0.03152761030438525,0.6971345880835467
2018-06-05,0.11676247255965855,5.23,2.043,0.5561907162243773,2.5028083834754487,-1.0,-1.0,2.5028083834754487,-0.039110692272649725,0.6580238958108969
2018-06-06,0.24260202731570324,5.3,2.022,0.5515774532561974,2.501185940991245,-1.0,-1.0,2.501185940991245,0.03314811917986039,0.6911720149907573
2018-06-07,0.22876074597201157,5.38,2.061,0.5457111975028607,2.4993882843415762,-1.0,-1.0,2.4993882843415762,-0.00032862008619407787,0.6908433949045633
2018-06-08,0.1898760100663628,5.31,2.05,0.5403217250251794,2.4976214585042134,-1.0,-1.0,2.4976214585042134,0.0021060842710080904,0.6929494791755714
2018-06-11,0.15836766231111277,5.26,2.044,0.5357611737591464,2.495906231746031,-1.0,-1.0,2.495906231746031,-0.06488677508665402,0.6280627040889173
2018-06-12,0.41541138110394105,5.46,2.022,0.5324294374592188,2.4948509490089315,-1.0,-1.0,2.4948509490089315,0.07738574422535208,0.7054484483142693
2018-06-13,0.14870708041175895,5.28,2.058,0.5290112120998379,2.493339611073004,-1.0,-1.0,2.493339611073004,0.0005437794150782195,0.7059922277293476
2018-06-14,0.059574871100452675,5.13,2.035,0.5254697937983096,2.4916093999506375,-1.0,-1.0,2.4916093999506375,-0.0969513698246339,0.6090408579047136
2018-06-15,0.2713107829382988,5.15,1.959,0.52289923564899,2.490397762665493,-1.0,-1.0,2.490397762665493,0.05621429115184326,0.6652551490565569
2018-06-18,0.11545316305816922,5.07,1.991,0.5180846879239255,2.4884715404027276,-1.0,-1.0,2.4884715404027276,0.01347456517353644,0.6787297142300933
2018-06-19,0.033235619031881214,4.97,1.986,0.5101265501514352,2.4857826691682368,-1.0,-1.0,2.4857826691682368,-0.0459142019741364,0.6328155122559569
2018-06-20,0.19601794340394463,5.08,1.967,0.498782060856368,2.4829598660884877,-1.0,-1.0,2.4829598660884877,-0.017566451604945195,0.6152490606510117
2018-06-21,0.2786448037041591,5.15,1.964,0.4874963220295467,2.4803234197025668,-1.0,-1.0,2.4803234197025668,0.06712299880756613,0.6823720594585778
2018-06-22,0.12827039516786254,5.11,2.011,0.4741854165561991,2.4772399825122515,-1.0,-1.0,2.4772399825122515,0.014572069301070066,0.6969441287596478
2018-06-25,0.013847794901163724,4.96,1.999,0.4643302812784787,2.4743132591790076,-1.0,-1.0,2.4743132591790076,0.035155087020725395,0.7320992157803732
2018-06-26,-0.09187032245182447,4.89,2.016,0.45392472043252285,2.4711658345495158,-1.0,-1.0,2.4711658345495158,0.040838937431768016,0.7729381532121412
2018-06-27,-0.10839013545205844,4.99,2.066,0.44171411986595865,2.4677590200639203,1.0,1.0,-2.4677590200639203,-0.0007698329903250362,0.7721683202218161
2018-06-28,-0.09125982798926824,5.01,2.07,0.42940558259705475,2.464376728497231,1.0,1.0,-2.464376728497231,-0.024018319714121772,0.7481500005076944
2018-06-29,-0.040175181641672,5.17,2.117,0.4168005332467106,2.4611125090418855,1.0,1.0,-2.4611125090418855,0.010132236308873076,0.7582822368165675
2018-07-02,-0.11353867383419303,5.0,2.08,0.40986782629641627,2.4584320547279774,1.0,1.0,-2.4584320547279774,0.0029986766336499073,0.7612809134502174
2018-07-03,-0.05549963668306468,5.08,2.091,0.40409337040700943,2.456001739207587,1.0,1.0,-2.456001739207587,0.0,0.7612809134502174
2018-07-04,-0.05060138317373575,5.08,2.091,0.3986631888218098,2.453659198074479,1.0,1.0,-2.453659198074479,0.008784044515914455,0.7700649579661318
