Date,Spread,EIAEBRT,BFO1MEU,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-06-06,2.493856993537932,62.77,60.79,1.0223286873220383,0.991547014417866,-1.0,-1.0,0.991547014417866,0.013227790142464245,0.21883411510368941
2019-06-07,1.7244336131871378,64.1,62.9,1.0276479889293548,0.9916624226838292,-1.0,-1.0,0.9916624226838292,0.000822950511161994,0.2196570656148514
2019-06-10,1.6703894991958563,64.31,63.16,1.0331119011698484,0.9917607742369244,-1.0,-1.0,0.9917607742369244,0.004753224497681377,0.22441029011253277
2019-06-11,1.3509529324406344,63.56,62.72,1.036106418599841,0.9918534290108317,-1.0,-1.0,0.9918534290108317,0.002851092223100909,0.22726138233563367
2019-06-12,1.140095061661988,61.66,61.01,1.0359375257442398,0.9919669716167515,-1.0,-1.0,0.9919669716167515,-0.013753612685803034,0.21350776964983065
2019-06-13,1.9865373346926987,63.28,61.78,1.040972770898147,0.9921246789463791,-1.0,-1.0,0.9921246789463791,0.009757554654017446,0.2232653243038481
2019-06-14,1.3712210896737531,63.13,62.24,1.0406503635249322,0.992268298687761,-1.0,-1.0,0.992268298687761,0.0018548114788862202,0.22512013578273432
2019-06-17,1.2407409414426667,62.56,61.79,1.0414479273712516,0.9923815999119168,-1.0,-1.0,0.9923815999119168,-0.0004218565883444079,0.22469827919438992
2019-06-18,1.266804943697018,63.35,62.55,1.039114191853237,0.9925370912278655,-1.0,-1.0,0.9925370912278655,0.0007521052132113812,0.2254503844076013
2019-06-19,1.2070987537446953,62.85,62.1,1.040314332335738,0.9926393115339018,-1.0,-1.0,0.9926393115339018,-0.006682643572394759,0.21876774083520653
2019-06-20,1.6448078032945332,65.44,64.26,1.0438680023793818,0.9927667630984354,-1.0,-1.0,0.9927667630984354,0.00828051020555403,0.22704825104076057
2019-06-21,1.1158259515435702,65.99,65.34,1.0444170424415902,0.9928707384214329,-1.0,-1.0,0.9928707384214329,-0.0024658327543730096,0.22458241828638756
2019-06-24,1.2618009808157922,65.16,64.35,1.045747307695591,0.9929790057371284,-1.0,-1.0,0.9929790057371284,0.0016338871971165354,0.2262163054835041
2019-06-25,1.159441731531075,66.24,65.53,1.0416931889669765,0.9931414355023489,-1.0,-1.0,0.9931414355023489,0.005491920308986719,0.2317082257924908
