Date,Spread,WHEATSF,NATBGAS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2021-05-06,-1.7597912002735185,7.73,0.8646524999999999,2.2916420831879525,10.97526601758917,1.0,1.0,-10.97526601758917,0.12230704984083927,-5.215292695475513
2021-05-07,-1.5522260657663587,7.82,0.8559341699999998,2.2782660438929523,10.949704304673759,1.0,1.0,-10.949704304673759,-0.6775473003917502,-5.892839995867264
2021-05-10,-2.384449151115332,7.5,0.905699025,2.26460833612065,10.91361354961747,1.0,1.0,-10.91361354961747,-0.2546784525355311,-6.147518448402795
2021-05-11,-2.4747737026390544,7.62,0.92816209,2.2517321131768564,10.876089221268511,1.0,1.0,-10.876089221268511,-0.16753707474313223,-6.315055523145927
2021-05-12,-2.6976795371040314,7.5,0.9411157200000001,2.239313859006286,10.83573392770873,1.0,1.0,-10.83573392770873,-0.02495544940514548,-6.340010972551072
2021-05-13,-2.9343670719332,7.21,0.93992486,2.228244471470366,10.792742594267802,1.0,1.0,-10.792742594267802,-0.3138974299956395,-6.653908402546712
2021-05-14,-3.133074590720984,7.27,0.96798648,2.2164744086729664,10.747127987491089,1.0,1.0,-10.747127987491089,0.19835003923108274,-6.455558363315629
2021-05-17,-2.961576212676344,7.2,0.9492539850000001,2.2027067758541854,10.704802269201265,1.0,1.0,-10.704802269201265,0.564326398488619,-5.89123196482701
2021-05-18,-2.4727850970711005,7.11,0.8981036,2.1874463763609846,10.670021918485908,1.0,1.0,-10.670021918485908,0.9441685731010775,-4.947063391725933
2021-05-19,-1.7537487600801436,6.94,0.816619715,2.1693192716765375,10.646018704165309,1.0,1.0,-10.646018704165309,-0.8947745890840819,-5.8418379808100145
2021-05-20,-2.4981036504562875,6.89,0.884702175,2.1562765194568847,10.611597796124201,1.0,1.0,-10.611597796124201,-0.046538444080966405,-5.888376424890981
2021-05-21,-2.5169440207384186,6.88,0.88846114,2.144308906543887,10.5766516932169,1.0,1.0,-10.5766516932169,0.0434176171565214,-5.84495880773446
2021-05-24,-2.551718292698503,6.76,0.8833488150000001,2.132151974545626,10.541383125870274,1.0,1.0,-10.541383125870274,-0.6223472912709596,-6.46730609900542
2021-05-25,-3.1132748341340504,6.7,0.93475662,2.12394231758972,10.49821378546006,1.0,1.0,-10.49821378546006,-0.036607641127589775,-6.50391374013301
2021-05-26,-3.1759147619327424,6.62,0.9369529900000001,2.1145423784914863,10.45507604595268,1.0,1.0,-10.45507604595268,0.5414576600786434,-5.962456080054366
2021-05-27,-2.3994695110709987,6.9,0.892219605,2.1010633031395014,10.422848207948759,1.0,1.0,-10.422848207948759,0.35344183817256675,-5.609014241881799
2021-05-28,-2.172509809799214,6.77,0.86035138,2.086830312280655,10.394020417331362,1.0,1.0,-10.394020417331362,-0.026757537485106345,-5.635771779366905
2021-05-31,-2.1707550996805907,6.77,0.8625662,2.0737981712788747,10.365297295072066,1.0,1.0,-10.365297295072066,-0.45018300185676485,-6.08595478122367
2021-06-01,-2.2693430834410897,7.07,0.903716555,2.0619493638344797,10.33437202380462,1.0,1.0,-10.33437202380462,0.18127176522456098,-5.904683015999109
2021-06-02,-2.1321777973827363,7.01,0.8871226350000001,2.0498584310493397,10.305427273178228,1.0,1.0,-10.305427273178228,0.014307938761836742,-5.890375077237272
2021-06-03,-2.190086634587299,6.9,0.8845401599999999,2.036812846286731,10.276623997023833,1.0,1.0,-10.276623997023833,-0.03269062663816056,-5.923065703875433
