Date,Spread,EIAEBRT,EIANYLS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-11-27,0.7289301566544282,65.03,1.949,2.6584115123036827,32.99182649735535,1.0,1.0,-32.99182649735535,-0.0053821313240042246,0.17100181051276098
2019-11-28,0.37250096885233575,64.68,1.949,2.6571001583315708,32.99512520838772,-1.0,-1.0,32.99512520838772,0.00278293135436003,0.173784741867121
2019-11-29,0.18735556146005194,64.5,1.949,2.6557435867065906,32.99776523270393,-1.0,-1.0,32.99776523270393,-0.9618205299918902,-0.7880357881247692
2019-12-02,0.7855802443214159,63.2,1.891,2.645744689740917,33.006039003531775,-1.0,-1.0,33.006039003531775,-0.08331569196122578,-0.871351480085995
2019-12-03,0.6888969359160271,62.95,1.886,2.640404909547317,33.012249768867434,-1.0,-1.0,33.012249768867434,0.6636168256043946,-0.20773465448160033
2019-12-04,1.6542773427047521,65.25,1.926,2.6403061034704374,33.019586011056724,-1.0,-1.0,33.019586011056724,0.1992927262478558,-0.008441928233744539
2019-12-05,1.6605728359393197,65.67,1.938,2.635808716405065,33.02860018785381,-1.0,-1.0,33.02860018785381,0.26004298935794096,0.25160106112419645
2019-12-06,1.9398423319670428,66.5,1.954,2.626718112474563,33.03999880656753,-1.0,-1.0,33.03999880656753,-0.15127788215983012,0.10032317896436632
2019-12-09,2.1488288654633863,66.44,1.945,2.605996970185915,33.05458670156124,-1.0,-1.0,33.05458670156124,0.3719255620002954,0.47224874096466174
2019-12-10,1.5257110386273496,66.57,1.967,2.5823786507274415,33.06776256297542,-1.0,-1.0,33.06776256297542,-0.5199344121840371,-0.04768567121937539
2019-12-11,1.359092021191671,65.37,1.935,2.557594269542414,33.080572598867356,-1.0,-1.0,33.080572598867356,0.3391271679637703,0.2914414967443949
2019-12-12,1.9368675192722407,66.67,1.956,2.5345560109688985,33.094648507529534,-1.0,-1.0,33.094648507529534,0.4283589932153865,0.7198004899597814
2019-12-13,1.816428749122224,67.44,1.982,2.5041500267346235,33.10977358772844,-1.0,-1.0,33.10977358772844,0.45884975201770706,1.1786502419774885
2019-12-16,1.464838147315092,68.04,2.01,2.4828260997140488,33.12197107098752,-1.0,-1.0,33.12197107098752,0.4144810318149129,1.5931312737924013
2019-12-17,1.5306975110552372,68.99,2.036,2.4660137089948964,33.13325269594536,-1.0,-1.0,33.13325269594536,-0.16462132858676795,1.4285099452056333
2019-12-18,1.9672718544529886,69.12,2.026,2.4506345072820976,33.145472924751736,-1.0,-1.0,33.145472924751736,0.07340907498522814,1.5019190201908614
2019-12-19,2.3549725007469817,69.7,2.031,2.4366822937607218,33.15855612961744,-1.0,-1.0,33.15855612961744,-0.18099356916723264,1.3209254510236288
2019-12-20,1.6965444560112815,68.66,2.019,2.4334625693516325,33.166644647839874,-1.0,-1.0,33.166644647839874,0.04989501601261478,1.3708204670362436
2019-12-23,0.44192148522013497,67.49,2.021,2.4132556756123313,33.17569446550216,-1.0,-1.0,33.17569446550216,0.1871751928003675,1.5579956598366111
2019-12-24,1.7601736677390107,69.26,2.034,2.4045841959788765,33.18575532559538,-1.0,-1.0,33.18575532559538,0.0,1.5579956598366111
2019-12-25,1.7419978346657814,69.26,2.034,2.3994338333010545,33.19469133005616,-1.0,-1.0,33.19469133005616,0.22847870138681922,1.7864743612234304
2019-12-26,1.2576724269102755,69.26,2.048,2.3869825636123285,33.20426151029772,-1.0,-1.0,33.20426151029772,-0.02737261474261772,1.7591017464808127
2019-12-27,0.9581327975390792,68.91,2.046,2.3778085821969026,33.21205630618813,-1.0,-1.0,33.21205630618813,-0.1859399931364785,1.5731617533443343
2019-12-30,0.7334774168309082,68.3,2.034,2.3704614178160983,33.21854600942434,-1.0,-1.0,33.21854600942434,-0.1882197396047864,1.3849420137395478
2019-12-31,0.5866007106899076,67.77,2.022,2.358077041249199,33.22621132013358,-1.0,-1.0,33.22621132013358,0.0,1.3849420137395478
2020-01-01,0.5735087919256046,67.77,2.022,2.3491631430718045,33.232686057405736,-1.0,-1.0,33.232686057405736,-0.03868248588479825,1.3462595278547496
2020-01-02,-0.05997961436716537,67.05,2.019,2.3348010028447095,33.23921724337155,-1.0,-1.0,33.23921724337155,0.5459363715536254,1.892195899408375
2020-01-03,0.7910110002289628,69.08,2.054,2.324305157368992,33.24683008752242,1.0,1.0,-33.24683008752242,0.5834602796414248,2.4756561790497997
2020-01-06,3.1010971278543877,70.25,2.019,2.325734422119764,33.258495726669445,-1.0,-1.0,33.258495726669445,0.10385844529632271,2.5795146243461224
2020-01-07,1.412996613804765,68.74,2.024,2.3246283393762233,33.26432973626247,-1.0,-1.0,33.26432973626247,-0.9159888688518467,1.6635257554942757
2020-01-08,1.866427672965557,67.31,1.967,2.325536714561213,33.270753597882276,-1.0,-1.0,33.270753597882276,-0.34435843262095944,1.3191673228733163
2020-01-09,1.8191964249649715,66.58,1.946,2.3220096071983396,33.27893297792139,-1.0,-1.0,33.27893297792139,-0.2935740904109809,1.0255932324623354
2020-01-10,2.5590815513779575,66.77,1.929,2.3249455385503537,33.287153161545895,-1.0,-1.0,33.287153161545895,-0.5645770252133681,0.4610162072489673
2020-01-13,1.0845019804997875,64.14,1.894,2.322451397371764,33.29223760269283,-1.0,-1.0,33.29223760269283,0.3115661239739653,0.7725823312229326
2020-01-14,0.7878318070903205,64.45,1.912,2.3204248245465524,33.29611307160548,-1.0,-1.0,33.29611307160548,-0.504430103969129,0.2681522272538036
2020-01-15,0.619153238008181,63.29,1.882,2.317142251323919,33.30013111689257,-1.0,-1.0,33.30013111689257,-0.4281346636153596,-0.159982436361556
2020-01-16,2.7084357375442707,64.63,1.859,2.31924754950367,33.309071685021905,-1.0,-1.0,33.309071685021905,0.026891896854528814,-0.1330905395070272
2020-01-17,2.0834130714637595,64.05,1.86,2.3211453501985244,33.31536931641733,-1.0,-1.0,33.31536931641733,-0.009055425448867949,-0.14214596495589515
2020-01-20,2.6545016208414793,64.63,1.86,2.3283941382085604,33.320160418902425,-1.0,-1.0,33.320160418902425,-0.6298978207085503,-0.7720437856644454
2020-01-21,2.867411055323153,63.66,1.824,2.3311622974282757,33.32927025475704,-1.0,-1.0,33.32927025475704,-0.5238306878074093,-1.2958744734718546
2020-01-22,2.304983529998694,62.11,1.794,2.3332613157618027,33.336129581940526,-1.0,-1.0,33.336129581940526,-0.11638868733396193,-1.4122631608058165
2020-01-23,1.6772710173605034,61.26,1.787,2.3319088113917763,33.34232175861192,-1.0,-1.0,33.34232175861192,-1.0508376197784284,-2.463100780584245
2020-01-24,1.6809058714383056,59.34,1.729,2.3309048913154964,33.34823257869387,-1.0,-1.0,33.34823257869387,-1.2980740745359083,-3.7611748551201534
2020-01-27,3.131961337106951,58.54,1.661,2.3325183417499655,33.35824121787661,-1.0,-1.0,33.35824121787661,0.929733362534511,-2.8314414925856424
2020-01-28,2.379276189290543,59.37,1.708,2.330594999569216,33.36693431540366,-1.0,-1.0,33.36693431540366,-0.607121867819273,-3.4385633604049155
2020-01-29,3.4873557188903845,59.46,1.677,2.3364363399589143,33.37665133041718,-1.0,-1.0,33.37665133041718,-0.6275222551313884,-4.066085615536304
2020-01-30,2.8374165633963457,57.72,1.644,2.3413751978727935,33.383566567277164,-1.0,-1.0,33.383566567277164,-0.48821758761481837,-4.554303203151123
2020-01-31,3.673863628401172,57.77,1.62,2.349648703097818,33.39267677259187,-1.0,-1.0,33.39267677259187,-0.9653793871571568,-5.519682590308279
2020-02-03,1.5633938817489081,54.0,1.57,2.346167524405553,33.399112177229995,-1.0,-1.0,33.399112177229995,0.3422249695815842,-5.177457620726695
2020-02-04,0.9205329477978665,53.9,1.586,2.34145615248009,33.40445589672265,-1.0,-1.0,33.40445589672265,1.2787616448617862,-3.898695975864909
2020-02-05,0.30494218947855956,55.36,1.648,2.3388123857676084,33.40719527337466,-1.0,-1.0,33.40719527337466,0.388407215835568,-3.510288760029341
2020-02-06,-0.5108266776508614,55.18,1.667,2.3371346845569074,33.407814443701774,-1.0,-1.0,33.407814443701774,-0.5092780634821569,-4.019566823511497
2020-02-07,-0.29242437209136796,54.53,1.641,2.3362482892533785,33.40793685075647,1.0,1.0,-33.40793685075647,0.5898424651515132,-3.429724358359984
2020-02-10,-0.43168147135467905,53.39,1.611,2.3343919457834326,33.408864972907935,1.0,1.0,-33.408864972907935,-0.32038211279538814,-3.750106471155372
2020-02-11,-0.3579381394205825,54.0,1.627,2.3325143733699494,33.40991895477602,1.0,1.0,-33.40991895477602,-1.0187499920491394,-4.768856463204512
2020-02-12,-0.5269573467552888,55.54,1.678,2.3269050897738377,33.41296623763724,1.0,1.0,-33.41296623763724,-0.06524546922504365,-4.834101932429555
2020-02-13,0.13080877206746067,56.34,1.682,2.319280371731688,33.41806850649973,1.0,1.0,-33.41806850649973,-0.339343129827644,-5.1734450622571995
2020-02-14,0.5507914565744656,57.37,1.7,2.3139696357527773,33.42306384907384,-1.0,-1.0,33.42306384907384,-0.008018127941432862,-5.181463190198633
2020-02-17,0.9976875425393033,57.83,1.7,2.304835097438441,33.43077203380041,-1.0,-1.0,33.43077203380041,-0.48332881028437075,-5.664792000483003
2020-02-18,1.3385057720105564,57.35,1.675,2.2943907418754286,33.43969804656086,-1.0,-1.0,33.43969804656086,0.5575947688491233,-5.10719723163388
2020-02-19,2.686491312559397,59.72,1.705,2.289851939714227,33.45073823310299,-1.0,-1.0,33.45073823310299,-0.19619201309737805,-5.3033892447312585
2020-02-20,2.9997606309917657,59.72,1.695,2.2840334790231545,33.46326806431164,-1.0,-1.0,33.46326806431164,-0.1391845421248574,-5.442573786856116
2020-02-21,2.1301571221220286,58.6,1.687,2.27644045082133,33.47352867686898,-1.0,-1.0,33.47352867686898,-1.4246252688636336,-6.867199055719749
2020-02-24,2.0331553000293923,56.04,1.613,2.2717215993040893,33.48223477989498,-1.0,-1.0,33.48223477989498,-0.9252963102574621,-7.792495365977211
2020-02-25,4.1610339227208755,56.71,1.569,2.2828635231131416,33.49201152152908,-1.0,-1.0,33.49201152152908,-1.3139447668273077,-9.106440132804519
2020-02-26,4.503855270556748,54.96,1.506,2.2939446112033117,33.5034161550088,-1.0,-1.0,33.5034161550088,-0.5280119399749537,-9.634452072779473
2020-02-27,2.5951715722645474,52.19,1.48,2.2964353858932136,33.51001920792936,-1.0,-1.0,33.51001920792936,0.1300709920652386,-9.504381080714234
2020-02-28,1.5407392688441064,51.31,1.485,2.295849687288943,33.51465369101407,-1.0,-1.0,33.51465369101407,1.5788019681371763,-7.925579112577058
2020-03-02,0.369740311754164,52.52,1.556,2.295419805176296,33.515591059283956,-1.0,-1.0,33.515591059283956,-0.23160411001182798,-8.157183222588886
