Date,Spread,CRUDOIL,EIAGCGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-10-22,4.444056355132801,69.36,1.905,2.324456697261304,34.076610837200626,-1.0,-1.0,34.076610837200626,-1.2428080235048373,1.3397968882406506
2018-10-23,3.73365827850737,66.23,1.833,2.3088607907537426,34.095112777682836,-1.0,-1.0,34.095112777682836,-0.788628539924799,0.5511683483158516
2018-10-24,5.616118830716168,66.72,1.791,2.300066028497582,34.117186582514705,-1.0,-1.0,34.117186582514705,0.14325122406499122,0.6944195723808428
2018-10-25,5.912337920059393,67.33,1.799,2.2925509075500146,34.139889983291056,-1.0,-1.0,34.139889983291056,0.546475726482659,1.2408952988635018
2018-10-26,5.143234209250714,67.59,1.828,2.2816008389201823,34.161250432576196,0.0,0.0,-0.0,-0.0,1.2408952988635018
2018-10-29,4.559650359426051,67.04,1.828,2.274465275933704,34.17962234167065,-1.0,-1.0,34.17962234167065,-0.08066095789939817,1.1602343409641036
2018-10-30,3.838413721591614,66.18,1.823,2.26390470106755,34.197249741310145,-1.0,-1.0,34.197249741310145,-0.8685165346388639,0.2917178063252397
2018-10-31,4.547414661999468,65.31,1.776,2.2611547082618455,34.213167420045345,-1.0,-1.0,34.213167420045345,-0.9384037650146531,-0.6466859586894134
2018-11-01,4.611183980834113,63.69,1.726,2.258386786365766,34.22874624517143,-1.0,-1.0,34.22874624517143,-0.2888332474171417,-0.9355192061065551
2018-11-02,4.550561098438045,63.14,1.711,2.2575291773520374,34.24280473498653,-1.0,-1.0,34.24280473498653,-0.5597396797953418,-1.495258885901897
2018-11-05,5.445525663715259,63.1,1.683,2.2609965381546906,34.25696633171999,-1.0,-1.0,34.25696633171999,0.2583610403124958,-1.236897845589401
2018-11-06,4.128135486153965,62.21,1.695,2.261661109798058,34.26658673383247,-1.0,-1.0,34.26658673383247,-0.961700940758393,-2.198598786347794
