Date,Spread,LNICASH,RHODNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-02-08,-1419.5836672297864,12491.75,2515.0,965.9929622000354,5.531345394524766,1.0,1.0,-5.531345394524766,-0.006784477755318541,-2.1985462005189413
2019-02-11,-1485.013759329564,12407.0,2515.0,967.5713172909732,5.523663522596248,1.0,1.0,-5.523663522596248,-0.06131486516129445,-2.259861065680236
2019-02-12,-1682.2979946244013,12327.5,2540.0,968.2375247945793,5.51566850182063,1.0,1.0,-5.51566850182063,-0.03285676355254977,-2.2927178292327857
2019-02-13,-1747.319585199355,12324.0,2555.0,968.1241554623749,5.507365786770785,1.0,1.0,-5.507365786770785,-0.03812860050526365,-2.3308464297380493
2019-02-14,-1984.4476808188574,12119.75,2565.0,967.2591895283838,5.49871254612821,1.0,1.0,-5.49871254612821,-0.037071071492612524,-2.3679175012306617
2019-02-15,-1899.8868906173902,12320.0,2590.0,967.2432634211224,5.490303818771193,1.0,1.0,-5.490303818771193,-0.1122063464498624,-2.4801238476805243
2019-02-18,-2125.4454678178918,12374.0,2645.0,967.4775602875259,5.481831934902795,1.0,1.0,-5.481831934902795,-0.004198674506698679,-2.484322522187223
2019-02-19,-1954.1450353850541,12578.5,2655.0,968.2812295588078,5.473689278864427,1.0,1.0,-5.473689278864427,-0.0729389610792642,-2.5572614832664873
2019-02-20,-1929.026177463802,12828.0,2700.0,969.1756998608672,5.465565250912519,1.0,1.0,-5.465565250912519,-0.034417884072474106,-2.5916793673389615
2019-02-21,-2039.4070535305364,12776.0,2715.0,968.6566887747099,5.456871842921008,1.0,1.0,-5.456871842921008,0.010918910457107023,-2.5807604568818547
2019-02-22,-1877.380253381045,12915.5,2715.0,968.715831415835,5.448574678961711,1.0,1.0,-5.448574678961711,-0.0015098137896326635,-2.5822702706714873
2019-02-25,-1875.5341382431761,12896.0,2715.0,969.8568123930693,5.440712389776492,1.0,1.0,-5.440712389776492,-0.0014733250620347915,-2.583743595733522
2019-02-26,-1871.0483803679908,12877.0,2715.0,968.3389242395076,5.432062018551746,1.0,1.0,-5.432062018551746,-0.022672726529373403,-2.6064163222628958
2019-02-27,-1835.2535933088075,12971.5,2730.0,967.8719295264202,5.423719264948281,1.0,1.0,-5.423719264948281,-0.039926937285461366,-2.646343259548357
2019-02-28,-1922.005077965685,12969.0,2750.0,965.8299572959023,5.414910937442067,1.0,1.0,-5.414910937442067,-0.11676974313852218,-2.763113002686879
2019-03-01,-2102.7882895287585,13114.5,2815.0,963.949234295676,5.405786248500447,1.0,1.0,-5.405786248500447,-0.005293543301996117,-2.768406545988875
2019-03-04,-2048.848655952317,13171.0,2820.0,963.6572170738627,5.397109452465361,1.0,1.0,-5.397109452465361,-0.04595721914136683,-2.814363765130242
2019-03-05,-1838.431400876807,13574.0,2860.0,965.0234667955737,5.388962028278604,1.0,1.0,-5.388962028278604,-0.15574977372795912,-2.970113538858201
2019-03-06,-2311.346831653371,13506.0,2940.0,965.4652861238723,5.380049942739242,1.0,1.0,-5.380049942739242,-0.07166313241396156,-3.041776671272163
2019-03-07,-2766.5891228504915,13156.0,2965.0,965.1645682305873,5.370181828954634,1.0,1.0,-5.370181828954634,-0.074983360267283,-3.116760031539446
2019-03-08,-3075.9121913803156,13003.5,3000.0,965.1768593008807,5.3598040637934385,0.0,0.0,-0.0,-0.0,-3.116760031539446
2019-03-11,-3718.6876113039725,12807.5,3090.0,966.3800891775663,5.348280780357273,0.0,0.0,-0.0,0.0,-3.116760031539446
2019-03-12,-3742.9470114162286,13015.0,3140.0,967.405400934385,5.336925799814086,0.0,0.0,-0.0,0.0,-3.116760031539446
