Date,Spread,EIAEBRT,EIANYHO,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-10-22,-4.477613046794531,60.5,1.949,3.0593726865614688,33.33894974181351,1.0,1.0,-33.33894974181351,-0.3246771408793179,-2.258287744007339
2019-10-23,-5.0678852375535755,60.52,1.968,3.065640054372336,33.32717745810649,1.0,1.0,-33.32717745810649,-0.31902790647797363,-2.5773156504853127
2019-10-24,-4.533241382871317,61.71,1.988,3.062633674534498,33.32154999138396,1.0,1.0,-33.32154999138396,0.2235691498658765,-2.3537465006194362
2019-10-25,-3.753135372287659,62.06,1.975,3.043084336470573,33.323106517614,1.0,1.0,-33.323106517614,0.24304990146513977,-2.1106965991542963
2019-10-28,-4.881259962477088,60.39,1.959,3.0377198723106904,33.318662563796366,1.0,1.0,-33.318662563796366,0.12998492803070666,-1.9807116711235897
2019-10-29,-3.982359987384072,61.05,1.952,3.0301026035919647,33.31575819025823,1.0,1.0,-33.31575819025823,0.7203070465383488,-1.260404624585241
2019-10-30,-3.3705387378613096,60.22,1.909,3.0274279201098997,33.31091604916779,1.0,1.0,-33.31091604916779,0.4558566454255149,-0.8045479791597261
2019-10-31,-3.389540722381234,59.3,1.882,3.017142842926904,33.31006414579237,1.0,1.0,-33.31006414579237,-0.7463983147825997,-1.5509462939423257
2019-11-01,-3.9551507734313986,60.17,1.925,2.996655403511718,33.31176663554878,1.0,1.0,-33.31176663554878,-0.1686017580623843,-1.71954805200471
2019-11-04,-2.0098186846437827,62.52,1.937,2.982639897100986,33.314310110812485,1.0,1.0,-33.314310110812485,-0.23758591863958073,-1.9571339706442907
2019-11-05,-2.282041221757936,62.72,1.951,2.9658540015490176,33.31729432176214,1.0,1.0,-33.31729432176214,0.5025852698824315,-1.4545487007618592
2019-11-06,-1.9060692329152005,62.11,1.921,2.937979393099562,33.32434629511463,1.0,1.0,-33.32434629511463,0.23340536717206725,-1.2211433335897919
2019-11-07,-0.9960359956783478,62.6,1.908,2.9171547649434655,33.33125576293415,1.0,1.0,-33.33125576293415,-0.07946151099991305,-1.300604844589705
2019-11-08,-1.73769822328061,62.0,1.912,2.8994448496602243,33.335616225565175,1.0,1.0,-33.335616225565175,0.11396451305768411,-1.1866403315320209
2019-11-11,-0.9713463334699881,62.58,1.906,2.8777874307309665,33.342784015461696,1.0,1.0,-33.342784015461696,0.3436397924717395,-0.8430005390602814
2019-11-12,-0.7230248281371843,62.19,1.886,2.8210335348839637,33.35791348257539,1.0,1.0,-33.35791348257539,-0.4055174425112195,-1.2485179815715008
2019-11-13,-1.4164850875207833,62.27,1.909,2.8084107441945054,33.361176054227755,1.0,1.0,-33.361176054227755,0.055478430282447394,-1.1930395512890535
2019-11-14,-1.1335688779910527,62.46,1.906,2.7961128233784396,33.36493645225134,1.0,1.0,-33.36493645225134,-0.493882372176085,-1.6869219234651385
2019-11-15,-1.2470998370280526,63.32,1.935,2.7848860554749386,33.36801025169408,1.0,1.0,-33.36801025169408,0.8543260878819328,-0.8325958355832057
2019-11-18,-0.08822810203872677,62.82,1.885,2.7761609915333008,33.37306530612134,1.0,1.0,-33.37306530612134,0.754132065163768,-0.07846377041943775
2019-11-19,0.8827256245407256,62.37,1.842,2.7680962207972906,33.380713558881254,1.0,1.0,-33.380713558881254,-0.7019520836712448,-0.7804158540906826
2019-11-20,0.9640704572728396,63.8,1.882,2.762241923544713,33.38784779103462,-1.0,-1.0,33.38784779103462,0.7619352646170457,-0.018480589473636844
2019-11-21,0.6764753046818726,64.99,1.926,2.7601490958794273,33.39227658116206,-1.0,-1.0,33.39227658116206,-0.014875713405622236,-0.03335630287925908
2019-11-22,0.5429786947980801,64.83,1.925,2.758640482003002,33.39585522348151,-1.0,-1.0,33.39585522348151,0.12390746675295215,0.09055116387369308
2019-11-25,0.13311649322812968,64.67,1.932,2.7414219336534713,33.40418400971629,-1.0,-1.0,33.40418400971629,0.3261895879275233,0.4167407518012164
2019-11-26,-0.35298283843469846,64.82,1.951,2.7394891466243707,33.40491175727047,-1.0,-1.0,33.40491175727047,-0.4141663846825946,0.002574367118621801
2019-11-27,0.6529395151963229,65.03,1.927,2.739465649438317,33.40791929673258,1.0,1.0,-33.40791929673258,-0.0053821313240042246,-0.0028077642053824237
2019-11-28,0.29535181233136143,64.68,1.927,2.7356734643175513,33.41185686957377,-1.0,-1.0,33.41185686957377,0.00278293135436003,-2.4832851022393854e-05
2019-11-29,0.1090493353897557,64.5,1.927,2.7319812650276663,33.41512748552685,-1.0,-1.0,33.41512748552685,-1.0376149542953872,-1.0376397871464096
2019-12-02,0.8306762452451935,63.2,1.866,2.7189849559280064,33.42407489536699,-1.0,-1.0,33.42407489536699,0.003955696202531667,-1.0336840909438778
2019-12-03,0.5683359137658641,62.95,1.866,2.7105480792925962,33.430688149107255,-1.0,-1.0,33.430688149107255,0.6800908933445692,-0.35359319759930863
