Date,EIAEBRT,EIANYHO,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-09-02,42.7,1.124,42.45870654955537,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-03,42.72,1.099,42.47932803995184,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-04,41.1,1.088,40.85960149572629,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-09-07,40.67,1.088,40.42960149572629,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-08,38.53,1.025,38.291167651525384,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-09,39.98,1.038,39.740844476519214,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-10,39.27,1.012,39.031490826531545,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-09-11,38.8,1.037,38.56086933613507,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-09-14,38.57,1.038,38.33084447651922,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-15,39.54,1.046,39.30064559959235,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-16,41.23,1.064,40.99019812650689,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-17,42.35,1.108,42.10910430340911,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-18,42.16,1.103,41.9192286014884,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-21,40.37,1.066,40.13014840727517,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-22,40.84,1.046,40.600645599592355,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-23,41.09,1.04,40.8507947572875,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-24,41.24,1.054,41.00044672266548,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-09-25,40.91,1.065,40.67017326689103,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-28,41.59,1.081,41.3497755130373,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-29,40.33,1.057,40.0903721438179,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-09-30,40.3,1.1,40.05930318033598,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-01,39.75,1.076,39.50989981111659,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-02,38.0,1.043,37.760720178439925,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-05,39.78,1.098,39.539352899567696,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-06,41.27,1.137,41.028383374549215,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-07,40.62,1.119,40.37883084763466,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-08,42.0,1.148,41.758109918774764,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-09,41.63,1.145,41.38818449762234,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-12,40.5,1.115,40.2589302860981,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-13,41.34,1.119,41.098830847634666,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-14,41.81,1.15,41.56806019954305,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-15,41.61,1.146,41.36815963800648,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-16,41.34,1.133,41.098482813012644,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-19,41.29,1.095,41.049427478415275,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-20,41.62,1.112,41.37900486494567,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-21,40.09,1.083,39.84972579380558,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-22,41.28,1.099,41.03932803995184,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-23,40.71,1.089,40.469576636110425,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-26,39.06,1.069,38.8200738284276,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-27,39.72,1.102,39.479253461104264,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-28,37.86,1.059,37.620322424586185,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-29,36.56,1.025,36.321167651525386,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-10-30,36.33,1.021,36.09126708998881,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-02,37.78,1.048,37.540595880360634,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-03,38.17,1.067,37.93012354765932,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-04,39.68,1.095,39.439427478415276,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-05,39.47,1.092,39.22950205726285,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-06,38.08,1.063,37.84022298612275,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-09,40.93,1.128,40.68860711109194,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-10,42.25,1.162,42.00776188415274,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-11,42.5,1.155,42.25793590146375,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-12,42.16,1.136,41.918408234165064,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-13,41.51,1.108,41.26910430340911,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-16,42.71,1.133,42.46848281301264,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-11-17,42.54,1.144,42.2982093572382,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-18,42.91,1.184,42.66721497260385,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-19,43.09,1.198,42.84686693798184,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-20,43.79,1.205,43.54669292067082,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-23,45.0,1.226,44.75617086873779,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-24,46.63,1.284,46.38472901101799,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-25,47.3,1.313,47.054008082158084,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-11-26,46.32,1.313,46.07400808215809,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-27,46.88,1.313,46.63400808215809,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-11-30,46.84,1.291,46.59455499370698,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-01,47.03,1.286,46.78467929178627,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-02,47.8,1.306,47.554182099469095,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-03,48.37,1.31,48.12408266100566,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-04,49.1,1.319,48.85385892446293,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-12-07,48.63,1.321,48.383809205231216,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-08,48.84,1.33,48.59358546868849,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-09,48.81,1.319,48.563858924462934,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-10,50.33,1.356,50.08293911867616,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-11,50.01,1.354,49.762988837907876,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-14,50.27,1.373,50.02251650520657,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-15,50.77,1.374,50.52249164559071,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-16,50.83,1.393,50.582019312889386,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-17,51.2,1.413,50.95152212057222,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-18,52.17,1.428,51.92114922633434,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-21,50.61,1.388,50.36214361096869,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-22,49.88,1.378,49.632392207127275,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-23,51.05,1.412,50.80154698018807,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-12-24,50.88,1.412,50.63154698018808,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-25,50.88,1.412,50.63154698018808,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-28,50.88,1.392,50.63204417250525,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-12-29,50.44,1.396,50.19194473404181,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-30,50.74,1.4,50.49184529557838,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-12-31,51.22,1.398,50.971895014810094,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2021-01-01,51.22,1.398,50.971895014810094,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2021-01-04,50.37,1.364,50.12274024174929,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2021-01-05,53.16,1.433,52.91102492825504,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2021-01-06,53.8,1.436,53.550950349407465,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2021-01-07,53.7,1.44,53.450850910944034,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2021-01-08,55.51,1.484,55.25975708784625,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2021-01-11,54.84,1.472,54.59005540323656,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2021-01-12,55.98,1.498,55.72940905322423,27.792356237987498,-1,0.0,0.0,-0.0,0.0,0.23674110061043083
2021-01-13,55.52,1.497,55.26943391284009,27.792356237987498,0,-1.0,-1.0,0.024859615858665113,-0.003758152716767736,0.23298294789366308
2021-01-14,55.76,1.531,55.5085886859009,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23298294789366308
2021-01-15,54.8,1.493,54.54953335130352,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23298294789366308
2021-01-18,54.21,1.493,53.95953335130353,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23298294789366308
2021-01-19,55.38,1.498,55.12940905322424,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23298294789366308
2021-01-20,55.66,1.495,55.409483632071804,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23298294789366308
2021-01-21,55.68,1.498,55.429409053224234,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23298294789366308
