Date,LNICASH,RHODNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-01-17,11545.5,2450.0,11422.038407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.019170478639182295,0.06385532499855513
2019-01-18,11771.5,2460.0,11647.048001730538,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0034183625618025228,0.06727368756035766
2019-01-21,11736.0,2470.0,11610.557595491333,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.01890362274394484,0.0861773103043025
2019-01-22,11516.5,2475.0,11390.562392371732,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.009681760951677942,0.07649554935262456
2019-01-23,11628.0,2475.0,11502.062392371732,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0063937815113824115,0.07010176784124215
2019-01-24,11707.0,2485.0,11580.071986132527,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.017083796019475628,0.05301797182176653
2019-01-25,11907.0,2485.0,11780.071986132527,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.012261694801377288,0.06527966662314381
2019-01-28,11761.0,2485.0,11634.071986132527,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.024912847546977313,0.0403668190761665
2019-01-29,12054.0,2485.0,11927.071986132527,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.018831923013107765,0.021534896063058737
2019-01-30,12281.0,2485.0,12154.071986132527,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.010019760628363187,0.01151513543469555
2019-01-31,12406.5,2490.0,12279.076783012924,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.014513784796812132,-0.0029986493621165823
2019-02-01,12591.5,2500.0,12463.086376773721,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.04784973990390351,-0.05084838926602009
2019-02-04,13194.0,2500.0,13065.586376773721,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.016729344244961784,-0.03411904502105831
2019-02-05,12978.5,2510.0,12849.095970534516,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.009477212312670957,-0.02464183270838735
2019-02-06,12855.5,2510.0,12726.095970534516,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.00420053673524956,-0.02884236944363691
2019-02-07,12909.5,2510.0,12780.095970534516,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.032557182083008625,0.003714812639371713
2019-02-08,12491.75,2515.0,12361.850767414913,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.006784477755318541,0.010499290394690254
2019-02-11,12407.0,2515.0,12277.100767414913,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.007392172331515017,0.01789146272620527
2019-02-12,12327.5,2540.0,12195.124751816902,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.000868803643690463,0.018760266369895733
2019-02-13,12324.0,2555.0,12190.139142458096,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.016960987343422194,0.03572125371331793
2019-02-14,12119.75,2565.0,11984.898736218891,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.015557309815455653,0.020163943897862274
2019-02-15,12320.0,2590.0,12182.67272062088,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0022799376106750918,0.01788400628718718
2019-02-18,12374.0,2645.0,12231.225486305255,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.016152143304198868,0.001731862982988313
2019-02-19,12578.5,2655.0,12434.735080066052,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.018156778835040327,-0.016424915852052014
2019-02-20,12828.0,2700.0,12679.778251989632,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.00460385836696269,-0.011821057485089324
2019-02-21,12776.0,2715.0,12626.292642630824,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.010918910457107023,-0.02273996794219635
2019-02-22,12915.5,2715.0,12765.792642630824,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0015098137896326635,-0.021230154152563685
2019-02-25,12896.0,2715.0,12746.292642630824,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0014733250620347915,-0.019756829090528893
2019-02-26,12877.0,2715.0,12727.292642630824,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0067914800708000446,-0.02654830916132894
2019-02-27,12971.5,2730.0,12820.307033272018,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0009183025526568474,-0.025630006608672092
2019-02-28,12969.0,2750.0,12815.82622079361,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.008878100635625458,-0.03450810724429755
2019-03-01,13114.5,2815.0,12954.88858023878,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.00413229262088114,-0.03864039986517869
2019-03-04,13171.0,2820.0,13010.893377119177,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.02919269332026329,-0.06783309318544198
2019-03-05,13574.0,2860.0,13409.93175216236,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.007779944235423534,-0.060053148950018446
2019-03-06,13506.0,2940.0,13334.008502248724,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.026756590587270777,-0.03329655836274767
2019-03-07,13156.0,2965.0,12981.532486650713,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.012760782804822006,-0.020535775557925663
2019-03-08,13003.5,3000.0,12825.566064813498,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.018044083715498545,-0.0024916918424271184
2019-03-11,12807.5,3090.0,12620.652408660657,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.014598845373569308,-0.017090537215996425
2019-03-12,13015.0,3140.0,12823.200377464635,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.00759852944781387,-0.024689066663810294
2019-03-13,13118.0,3150.0,12925.209971225431,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.024632146040600593,-5.692062320970109e-05
2019-03-14,12799.0,3160.0,12605.219564986226,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.002908593063759125,-0.002965513686968826
2019-03-15,12844.25,3180.0,12648.488752507817,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0056639628731451055,-0.008629476560113931
