Date,CRUDOIL,NAFCNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-05-17,62.76,578.0,-5436.205980954373,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.23691953724581835,1.25435361214038
2019-05-20,63.1,564.0,-5302.057782244009,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.18688503381692553,1.4412386459573054
2019-05-21,63.13,553.0,-5196.89276897158,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.16017934197290487,1.6014179879302104
2019-05-22,61.24,542.0,-5093.647755699151,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.17143905404390672,1.7728570419741172
2019-05-23,57.7,529.0,-4972.937285468099,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.13912442405618058,1.9119814660302978
2019-05-24,58.43,522.0,-4905.303186112916,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.0,1.9119814660302978
2019-05-27,58.43,522.0,-4905.303186112916,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.37235502598878395,1.5396264400415138
2019-05-28,59.14,543.0,-5105.305484178462,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.005579979709164684,1.5340464603323491
2019-05-29,58.81,543.0,-5105.635484178462,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.543107744722593,2.077154205054942
2019-05-30,56.59,510.0,-4792.450444361175,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.2827283065876855,2.3598825116426276
2019-05-31,53.5,492.0,-4623.501331733563,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.004672897196261627,2.355209614446366
2019-06-03,53.25,492.0,-4623.751331733563,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.6453864029264691,3.0005960173728354
2019-06-04,53.48,459.0,-4308.116291916276,2186.0991508776,0,1.0,1.0,-9.557728479311752,0.3203325016438082,3.3209285190166438
2019-06-05,51.68,442.0,-4147.434907767975,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.3209285190166438
2019-06-06,52.59,440.0,-4127.409450809352,2186.0991508776,0,0.0,0.0,-0.0,0.0,3.3209285190166438
