Date,LCPCASH,LTICASH,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2021-04-08,9018.25,27520.0,-60127.159737432834,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.018057358907782352,-0.7074982957723132
2021-04-09,8935.25,27623.0,-60453.8162985414,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.03187593697127888,-0.6756223588010343
2021-04-12,8864.25,27158.0,-59424.81337703185,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.011650837431638545,-0.6872731962326728
2021-04-13,8901.5,27340.0,-59818.10215491301,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.01683726989598263,-0.7041104661286555
2021-04-14,9080.5,27767.0,-60649.212364557265,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.007512473132848432,-0.696597992995807
2021-04-15,9297.25,27959.0,-60886.65711924507,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.018809064429222935,-0.71540705742503
2021-04-16,9227.0,28092.0,-61271.53161077362,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.020326524488560933,-0.695080532936469
2021-04-19,9384.25,28053.0,-61022.02330122765,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.014051625075974973,-0.709132158012444
2021-04-20,9328.75,28149.5,-61305.80347741189,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0048137670355670095,-0.704318390976877
2021-04-21,9459.5,28259.0,-61434.08642344479,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.004672992682818577,-0.6996453982940584
2021-04-22,9421.35,28155.0,-61226.21426465556,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.027417169678418566,-0.6722282286156398
2021-04-23,9581.5,28031.0,-60772.73015225301,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0012958054085869357,-0.6709324232070528
2021-04-26,9771.0,28250.0,-61101.2960443188,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0037167903541326765,-0.6672156328529202
2021-04-27,9860.5,28315.0,-61165.55989356206,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.23309477655675037,-0.9003104094096706
2021-04-28,9880.25,31129.0,-67802.60176695534,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.020187921639336543,-0.880122487770334
2021-04-29,9889.0,30875.0,-67192.98995606625,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.0677452789890145,-0.9478677667593485
2021-04-30,9829.0,31680.0,-69157.29608900213,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0,-0.9478677667593485
2021-05-03,9829.0,31680.0,-69157.29608900213,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0021418591342548168,-0.9457259076250937
