Date,EIAEBRT,GOEUARA,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-05-25,33.8,278.0,-2227.6679627100293,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-26,33.95,285.5,-2287.020651570425,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-27,32.73,277.0,-2220.804270861977,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-28,33.98,274.5,-2199.720041241845,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-29,34.15,286.0,-2290.7874974944507,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-01,36.74,290.25,-2321.9156878486747,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-02,37.72,306.0,-2445.891334455505,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-03,37.98,298.25,-2384.1452226330966,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-04,38.41,302.5,-2417.4334129873205,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-05,41.0,326.25,-2603.268594378572,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-08,39.66,318.0,-2539.1556366321365,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-09,40.45,328.0,-2617.7025551126635,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-10,41.18,333.75,-2662.5912832389668,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-11,37.76,311.0,-2485.5197936957675,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-12,38.54,319.5,-2552.176174404216,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-15,39.44,328.0,-2618.7125551126637,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-16,40.75,335.5,-2676.9052439730585,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-06-17,40.47,337.25,-2691.0692047071516,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-18,41.75,343.25,-2737.3913557954675,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-19,42.33,347.5,-2770.5295461496908,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-22,43.2,353.25,-2815.2782742759946,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-23,42.72,348.75,-2780.056660959757,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-24,40.4,336.25,-2683.2055128590982,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-06-25,41.18,339.0,-2704.243165441243,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
