Date,WHEATSF,NAFCNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-09-04,5.63,381.0,-44958.71350744359,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-07,5.63,369.5,-43602.39331632526,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-08,5.57,361.0,-42599.955783759535,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-09,5.57,365.5,-43130.68977158845,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-10,5.61,361.0,-42599.915783759534,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-11,5.55,357.0,-42128.21223902272,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-14,5.59,359.0,-42364.054011391134,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-15,5.51,357.0,-42128.252239022724,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-16,5.55,372.0,-43897.32553178576,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-17,5.67,383.0,-45194.55527981199,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-18,5.85,392.0,-46255.843255469816,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-21,5.65,376.0,-44368.98907652257,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-22,5.68,367.0,-43307.49110086475,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-23,5.59,359.3,-42399.436277246394,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-24,5.58,358.5,-42305.093568299024,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-09-25,5.52,368.0,-43425.59198704895,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-28,5.58,367.5,-43366.56154395685,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
