Date,WHEATSF,EIANYGR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-08-31,5.64,1.239,4.899094699977141,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.02983559852125224,-0.4392187888208861
2020-09-01,5.87,1.28,5.115534410800293,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.02828182772775256,-0.41093696109313355
2020-09-02,5.66,1.251,4.91512583485221,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.001057518018899979,-0.4098794430742336
2020-09-03,5.66,1.255,4.913802879810566,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.003659899913207247,-0.41353934298744083
2020-09-04,5.63,1.221,4.895047997664539,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0,-0.41353934298744083
2020-09-07,5.63,1.221,4.895047997664539,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.00722057722734128,-0.4207599202147821
2020-09-08,5.57,1.155,4.856876755851663,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0040089546716480596,-0.416750965543134
2020-09-09,5.57,1.169,4.8522464132059095,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.015669064056755153,-0.4324200295998892
2020-09-10,5.61,1.139,4.902168576018238,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.015341210139063807,-0.41707881946082537
2020-09-11,5.55,1.155,4.836876755851662,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.004916375966265375,-0.42199519542709074
2020-09-14,5.59,1.163,4.874230845768375,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.02255841032463706,-0.3994367851024537
2020-09-15,5.51,1.192,4.784639421716457,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.009110930648058988,-0.39032585445439466
2020-09-16,5.55,1.251,4.80512583485221,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.013690236479871892,-0.40401609093426655
2020-09-17,5.67,1.281,4.9152036720398815,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.029938716115370634,-0.4339548070496372
