Date,PALLADM,LZZCASH,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2021-10-08,2044.0,3144.5,-3880.200514077604,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0034043339263595263,0.8053614282519249
2021-10-11,2120.0,3227.75,-3931.8242288018005,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.050045800231895476,0.7553156280200295
2021-10-12,2050.0,3263.6,-4056.7829095569055,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.07567925080072765,0.6796363772193018
2021-10-13,2051.0,3425.75,-4304.36171247016,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0049181081135908425,0.674718269105711
2021-10-14,2160.0,3555.5,-4394.270745328593,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.14352542475449567,0.5311928443512153
2021-10-15,2121.0,3846.5,-4879.378865265424,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.016620474859659264,0.514572369491556
2021-10-18,1986.0,3728.5,-4833.482789139836,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.1413518598897579,0.6559242293813139
2021-10-19,2093.0,3515.75,-4400.333295955777,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.051932866887165426,0.6039913624941484
2021-10-20,2058.0,3596.5,-4559.124466694264,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.03602749180934522,0.6400188543034936
2021-10-21,2026.0,3475.5,-4405.629337785822,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.015574549111936979,0.6244443051915566
2021-10-22,2015.0,3498.5,-4451.888742454368,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.005369374798715922,0.6298136799902725
2021-10-25,2032.0,3505.5,-4445.619865614361,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.007322204484315146,0.6371358844745877
2021-10-26,2012.0,3466.25,-4405.448925038689,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.0135707561374395,0.6507066406120272
2021-10-27,1963.0,3380.5,-4322.992666328781,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0030895513321317833,0.6476170892798955
2021-10-28,2001.0,3430.0,-4360.877037245869,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.022202535985115558,0.6254145532947799
2021-10-29,1972.0,3447.25,-4416.32159074728,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.05887695394840725,0.6842915072431872
2021-11-01,2055.0,3409.5,-4275.450176563034,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0047806272298251025,0.6795108800133621
2021-11-02,2023.0,3385.5,-4270.657754300204,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.00342964623951662,0.6760812337738455
2021-11-03,1984.0,3350.5,-4256.00213850024,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.05191809794863134,0.7279993317224769
2021-11-04,2028.0,3285.5,-4112.355994871739,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.008398818048127664,0.7363981497706046
2021-11-05,2028.0,3267.5,-4084.761678174615,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.01414225148537867,0.722255898285226
2021-11-08,2035.0,3305.0,-4135.249837960289,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.015547996742197218,0.7378038950274232
2021-11-09,2069.0,3307.5,-4105.082381946,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.01869106267930251,0.7191128323481206
2021-11-10,2038.0,3315.5,-4148.346522700278,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.027086550205413,0.7461993825535336
2021-11-11,2072.0,3293.0,-4079.853626828874,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.00105809681878811,0.7472574793723217
